"﻿最高氣溫 (攝氏度) - 清水灣"
"Maximum Temperature (°C) - Clear Water Bay"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2018,12,1,22.7,#
2018,12,2,23.4,#
2018,12,3,25.1,#
2018,12,4,26.8,#
2018,12,5,24.4,#
2018,12,6,23.7,#
2018,12,7,22.4,#
2018,12,8,18.3,#
2018,12,9,17.3,#
2018,12,10,17.9,#
2018,12,11,19.9,#
2018,12,12,15.1,C
2018,12,13,16.8,#
2018,12,14,17.6,C
2018,12,15,20.1,#
2018,12,16,20.8,#
2018,12,17,20.0,C
2018,12,18,19.1,#
2018,12,19,20.0,#
2018,12,20,22.3,#
2018,12,21,23.3,#
2018,12,22,23.5,#
2018,12,23,21.2,#
2018,12,24,18.5,#
2018,12,25,19.8,#
2018,12,26,23.3,#
2018,12,27,21.5,#
2018,12,28,19.2,#
2018,12,29,14.5,#
2018,12,30,***,#
2018,12,31,15.3,#
2019,1,1,16.2,#
2019,1,2,15.5,C
2019,1,3,16.4,C
2019,1,4,18.9,C
2019,1,5,22.7,C
2019,1,6,19.7,#
2019,1,7,18.1,#
2019,1,8,19.3,#
2019,1,9,17.4,#
2019,1,10,18.8,#
2019,1,11,20.4,C
2019,1,12,23.5,#
2019,1,13,17.8,C
2019,1,14,18.3,C
2019,1,15,20.5,#
2019,1,16,19.0,#
2019,1,17,18.5,#
2019,1,18,16.8,#
2019,1,19,19.9,#
2019,1,20,22.6,#
2019,1,21,19.2,#
2019,1,22,18.2,C
2019,1,23,17.7,#
2019,1,24,18.1,#
2019,1,25,20.2,#
2019,1,26,18.9,#
2019,1,27,17.4,#
2019,1,28,18.4,#
2019,1,29,18.6,#
2019,1,30,20.2,#
2019,1,31,25.8,#
2019,2,1,20.9,#
2019,2,2,18.6,#
2019,2,3,24.3,#
2019,2,4,23.6,#
2019,2,5,20.1,#
2019,2,6,23.2,#
2019,2,7,24.8,#
2019,2,8,25.6,C
2019,2,9,19.5,#
2019,2,10,18.2,C
2019,2,11,18.2,C
2019,2,12,19.5,C
2019,2,13,22.2,#
2019,2,14,20.5,#
2019,2,15,20.2,#
2019,2,16,24.9,#
2019,2,17,18.3,C
2019,2,18,18.6,#
2019,2,19,20.7,#
2019,2,20,22.6,#
2019,2,21,20.4,#
2019,2,22,22.6,#
2019,2,23,19.2,#
2019,2,24,18.1,#
2019,2,25,18.1,#
2019,2,26,18.8,#
2019,2,27,21.0,#
2019,2,28,25.8,C
2019,3,1,21.2,#
2019,3,2,21.3,C
2019,3,3,21.5,#
2019,3,4,21.7,#
2019,3,5,24.9,#
2019,3,6,20.6,#
2019,3,7,19.7,#
2019,3,8,17.2,#
2019,3,9,18.0,C
2019,3,10,18.0,#
2019,3,11,20.0,C
2019,3,12,21.3,C
2019,3,13,21.8,C
2019,3,14,20.5,#
