"﻿最高氣溫 (攝氏度) - 啟德跑道公園"
"Maximum Temperature (°C) - Kai Tak Runway Park"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2014,12,17,16.5,#
2014,12,18,15.6,#
2014,12,19,14.9,#
2014,12,20,18.3,C
2014,12,21,20.3,#
2014,12,22,15.6,#
2014,12,23,16.5,C
2014,12,24,22.4,C
2014,12,25,19.4,#
2014,12,26,17.2,#
2014,12,27,17.6,#
2014,12,28,16.9,#
2014,12,29,18.8,#
2014,12,30,18.7,#
2014,12,31,20.8,C
2015,1,1,19.6,#
2015,1,2,16.7,#
2015,1,3,17.7,#
2015,1,4,20.2,#
2015,1,5,20.7,#
2015,1,6,21.8,#
2015,1,7,19.5,#
2015,1,8,17.1,#
2015,1,9,17.1,#
2015,1,10,19.4,#
2015,1,11,19.5,#
2015,1,12,17.0,#
2015,1,13,14.0,#
2015,1,14,20.0,#
2015,1,15,18.4,#
2015,1,16,20.2,#
2015,1,17,18.1,#
2015,1,18,20.9,#
2015,1,19,20.1,#
2015,1,20,17.6,#
2015,1,21,20.0,#
2015,1,22,21.0,#
2015,1,23,18.4,#
2015,1,24,18.1,C
2015,1,25,19.5,#
2015,1,26,20.2,#
2015,1,27,18.8,#
2015,1,28,17.4,#
2015,1,29,18.4,#
2015,1,30,19.9,C
2015,1,31,16.5,#
2015,2,1,16.8,C
2015,2,2,18.3,#
2015,2,3,18.8,#
2015,2,4,18.2,#
2015,2,5,17.4,#
2015,2,6,14.8,#
2015,2,7,17.7,C
2015,2,8,20.7,#
2015,2,9,16.3,#
2015,2,10,15.9,#
2015,2,11,19.5,#
2015,2,12,20.8,C
2015,2,13,20.9,#
2015,2,14,19.5,#
2015,2,15,19.4,#
2015,2,16,22.3,#
2015,2,17,20.4,#
2015,2,18,19.3,#
2015,2,19,17.7,#
2015,2,20,18.2,C
2015,2,21,20.1,#
2015,2,22,20.6,C
2015,2,23,19.0,#
2015,2,24,19.3,#
2015,2,25,19.6,#
2015,2,26,24.2,#
2015,2,27,22.1,#
2015,2,28,18.8,#
2015,3,1,20.6,C
2015,3,2,18.1,#
2015,3,3,20.1,C
2015,3,4,19.1,#
2015,3,5,16.6,#
2015,3,6,17.2,C
2015,3,7,18.0,C
2015,3,8,19.8,C
2015,3,9,24.1,C
2015,3,10,18.9,C
2015,3,11,16.8,C
2015,3,12,16.5,C
2015,3,13,18.6,C
2015,3,14,20.6,C
2015,3,15,21.3,C
2015,3,16,22.6,C
2015,3,17,22.3,C
2015,3,18,23.9,#
2015,3,19,24.1,#
2015,3,20,26.5,#
2015,3,21,23.0,C
2015,3,22,21.9,C
2015,3,23,23.6,C
2015,3,24,20.3,C
2015,3,25,18.8,C
2015,3,26,19.9,C
2015,3,27,24.2,#
2015,3,28,22.7,C
2015,3,29,24.7,C
2015,3,30,24.6,#
2015,3,31,23.5,C
2015,4,1,24.6,#
2015,4,2,25.7,#
2015,4,3,26.2,#
2015,4,4,28.6,#
2015,4,5,27.9,#
2015,4,6,29.7,#
2015,4,7,26.4,#
2015,4,8,21.2,#
2015,4,9,19.4,#
2015,4,10,20.1,#
2015,4,11,18.3,#
2015,4,12,24.1,#
2015,4,13,27.0,#
2015,4,14,24.9,#
2015,4,15,24.9,#
2015,4,16,27.3,#
2015,4,17,25.2,#
2015,4,18,27.1,#
2015,4,19,27.2,#
2015,4,20,28.4,#
2015,4,21,25.0,#
2015,4,22,24.4,#
2015,4,23,23.6,#
2015,4,24,26.2,#
2015,4,25,24.3,#
2015,4,26,24.9,#
2015,4,27,25.7,#
2015,4,28,29.7,#
2015,4,29,30.0,#
2015,4,30,30.7,#
2015,5,1,27.3,#
2015,5,2,29.3,#
2015,5,3,31.3,#
2015,5,4,31.2,#
2015,5,5,30.5,#
2015,5,6,28.7,#
2015,5,7,30.8,#
2015,5,8,30.6,#
2015,5,9,31.1,#
2015,5,10,28.2,#
2015,5,11,28.4,#
2015,5,12,29.2,#
2015,5,13,26.8,C
2015,5,14,29.8,#
2015,5,15,32.0,C
2015,5,16,29.0,#
2015,5,17,29.1,C
2015,5,18,29.7,C
2015,5,19,29.7,C
2015,5,20,29.3,C
2015,5,21,25.7,C
2015,5,22,24.0,#
2015,5,23,27.4,C
2015,5,24,28.7,C
2015,5,25,32.1,#
