平均相對濕度(百分比) - 長洲
Mean Relative Humidity (%) - Cheung Chau
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,78,C
2024,1,2,81,C
2024,1,3,69,C
2024,1,4,70,C
2024,1,5,79,C
2024,1,6,81,C
2024,1,7,74,C
2024,1,8,76,C
2024,1,9,84,C
2024,1,10,77,C
2024,1,11,73,C
2024,1,12,78,C
2024,1,13,60,C
2024,1,14,65,C
2024,1,15,76,C
2024,1,16,78,C
2024,1,17,76,C
2024,1,18,78,C
2024,1,19,83,C
2024,1,20,81,C
2024,1,21,69,C
2024,1,22,80,C
2024,1,23,81,C
2024,1,24,63,C
2024,1,25,58,C
2024,1,26,62,C
2024,1,27,69,C
2024,1,28,88,C
2024,1,29,86,C
2024,1,30,91,C
2024,1,31,93,C
2024,2,1,93,C
2024,2,2,93,C
2024,2,3,91,C
2024,2,4,94,C
2024,2,5,90,C
2024,2,6,89,C
2024,2,7,94,C
2024,2,8,91,C
2024,2,9,86,C
2024,2,10,79,C
2024,2,11,58,C
2024,2,12,55,C
2024,2,13,76,C
2024,2,14,85,C
2024,2,15,76,C
2024,2,16,80,C
2024,2,17,86,C
2024,2,18,90,C
2024,2,19,96,C
2024,2,20,94,C
2024,2,21,94,#
2024,2,22,93,C
2024,2,23,91,C
2024,2,24,77,C
2024,2,25,75,C
2024,2,26,79,C
2024,2,27,74,C
2024,2,28,89,C
2024,2,29,88,C
2024,3,1,81,C
2024,3,2,78,C
2024,3,3,84,C
2024,3,4,93,C
2024,3,5,93,C
2024,3,6,86,C
2024,3,7,79,C
2024,3,8,70,C
2024,3,9,78,C
2024,3,10,89,C
2024,3,11,97,C
2024,3,12,70,C
2024,3,13,72,C
2024,3,14,79,C
2024,3,15,86,C
2024,3,16,91,C
2024,3,17,91,C
2024,3,18,95,C
2024,3,19,79,C
2024,3,20,60,C
2024,3,21,70,C
2024,3,22,87,C
2024,3,23,93,C
2024,3,24,89,C
2024,3,25,89,C
2024,3,26,85,C
2024,3,27,87,C
2024,3,28,88,C
2024,3,29,90,C
2024,3,30,90,C
2024,3,31,97,C
2024,4,1,94,C
2024,4,2,90,C
2024,4,3,91,C
2024,4,4,91,C
2024,4,5,89,C
2024,4,6,95,C
2024,4,7,93,C
2024,4,8,89,C
2024,4,9,84,C
2024,4,10,73,C
2024,4,11,83,C
2024,4,12,86,C
2024,4,13,87,C
2024,4,14,90,C
2024,4,15,89,C
2024,4,16,89,C
2024,4,17,88,C
2024,4,18,94,C
2024,4,19,93,C
2024,4,20,92,C
2024,4,21,98,C
2024,4,22,98,C
2024,4,23,99,C
2024,4,24,97,C
2024,4,25,96,C
2024,4,26,99,C
2024,4,27,97,C
2024,4,28,97,C
2024,4,29,95,C
2024,4,30,95,C
2024,5,1,100,C
2024,5,2,95,C
2024,5,3,90,C
2024,5,4,99,C
2024,5,5,93,C
2024,5,6,92,C
2024,5,7,87,C
2024,5,8,84,C
2024,5,9,75,C
2024,5,10,80,C
2024,5,11,87,C
2024,5,12,93,C
2024,5,13,90,C
2024,5,14,71,C
2024,5,15,70,C
2024,5,16,66,C
2024,5,17,79,C
2024,5,18,77,C
2024,5,19,87,C
2024,5,20,98,C
2024,5,21,99,C
2024,5,22,97,C
2024,5,23,97,C
2024,5,24,99,C
2024,5,25,96,C
2024,5,26,95,C
2024,5,27,97,C
2024,5,28,94,C
2024,5,29,78,C
2024,5,30,91,C
2024,5,31,98,C
2024,6,1,99,C
2024,6,2,97,C
2024,6,3,98,C
2024,6,4,91,C
2024,6,5,95,C
2024,6,6,97,C
2024,6,7,98,C
2024,6,8,96,C
2024,6,9,99,C
2024,6,10,95,C
2024,6,11,97,C
2024,6,12,97,C
2024,6,13,97,C
2024,6,14,100,C
2024,6,15,100,C
2024,6,16,98,C
2024,6,17,94,C
2024,6,18,93,C
2024,6,19,94,C
2024,6,20,91,C
2024,6,21,89,C
2024,6,22,89,C
2024,6,23,91,C
2024,6,24,93,C
2024,6,25,92,C
2024,6,26,88,C
2024,6,27,88,C
2024,6,28,89,C
2024,6,29,95,C
2024,6,30,96,C
2024,7,1,93,C
2024,7,2,93,C
2024,7,3,88,C
2024,7,4,91,C
2024,7,5,88,C
2024,7,6,87,C
2024,7,7,88,C
2024,7,8,87,C
2024,7,9,86,C
2024,7,10,89,C
2024,7,11,89,C
2024,7,12,94,C
2024,7,13,91,C
2024,7,14,90,C
2024,7,15,92,C
2024,7,16,94,C
2024,7,17,93,C
2024,7,18,96,C
2024,7,19,97,C
2024,7,20,90,C
2024,7,21,96,C
2024,7,22,95,C
2024,7,23,93,C
2024,7,24,92,C
2024,7,25,90,C
2024,7,26,96,C
2024,7,27,99,C
2024,7,28,100,C
2024,7,29,99,C
2024,7,30,97,C
2024,7,31,99,C
2024,8,1,96,C
