平均相對濕度(百分比) - 香港國際機場 
Mean Relative Humidity (%) - Hong Kong International Airport 
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,65,C
2024,1,2,68,C
2024,1,3,59,C
2024,1,4,58,C
2024,1,5,68,C
2024,1,6,67,C
2024,1,7,61,C
2024,1,8,65,C
2024,1,9,70,C
2024,1,10,61,C
2024,1,11,58,C
2024,1,12,66,C
2024,1,13,46,C
2024,1,14,50,C
2024,1,15,62,C
2024,1,16,65,C
2024,1,17,65,C
2024,1,18,66,C
2024,1,19,66,C
2024,1,20,73,C
2024,1,21,59,C
2024,1,22,66,C
2024,1,23,69,C
2024,1,24,48,C
2024,1,25,45,C
2024,1,26,50,C
2024,1,27,59,C
2024,1,28,75,C
2024,1,29,75,C
2024,1,30,83,C
2024,1,31,84,C
2024,2,1,85,C
2024,2,2,81,C
2024,2,3,78,C
2024,2,4,84,C
2024,2,5,82,C
2024,2,6,78,C
2024,2,7,90,C
2024,2,8,80,C
2024,2,9,72,C
2024,2,10,58,C
2024,2,11,45,C
2024,2,12,40,C
2024,2,13,65,C
2024,2,14,73,C
2024,2,15,65,C
2024,2,16,69,C
2024,2,17,74,C
2024,2,18,75,C
2024,2,19,78,C
2024,2,20,77,C
2024,2,21,74,C
2024,2,22,72,C
2024,2,23,78,C
2024,2,24,70,C
2024,2,25,68,C
2024,2,26,67,C
2024,2,27,63,C
2024,2,28,76,C
2024,2,29,85,C
2024,3,1,73,C
2024,3,2,70,C
2024,3,3,75,C
2024,3,4,83,C
2024,3,5,77,C
2024,3,6,79,C
2024,3,7,65,C
2024,3,8,55,C
2024,3,9,68,C
2024,3,10,81,C
2024,3,11,88,C
2024,3,12,55,C
2024,3,13,60,C
2024,3,14,67,C
2024,3,15,74,C
2024,3,16,81,C
2024,3,17,82,C
2024,3,18,85,C
2024,3,19,66,C
2024,3,20,46,C
2024,3,21,57,C
2024,3,22,70,C
2024,3,23,74,C
2024,3,24,71,C
2024,3,25,73,C
2024,3,26,73,C
2024,3,27,75,C
2024,3,28,77,C
2024,3,29,77,C
2024,3,30,74,C
2024,3,31,74,C
2024,4,1,71,C
2024,4,2,72,C
2024,4,3,71,C
2024,4,4,73,C
2024,4,5,71,C
2024,4,6,82,C
2024,4,7,78,C
2024,4,8,84,C
2024,4,9,74,C
2024,4,10,60,C
2024,4,11,69,C
2024,4,12,72,C
2024,4,13,71,C
2024,4,14,71,C
2024,4,15,71,C
2024,4,16,69,C
2024,4,17,69,C
2024,4,18,73,C
2024,4,19,76,C
2024,4,20,74,C
2024,4,21,79,C
2024,4,22,85,C
2024,4,23,85,C
2024,4,24,85,C
2024,4,25,77,C
2024,4,26,83,C
2024,4,27,79,C
2024,4,28,81,C
2024,4,29,77,C
2024,4,30,75,C
2024,5,1,89,C
2024,5,2,84,C
2024,5,3,80,C
2024,5,4,89,C
2024,5,5,81,C
2024,5,6,75,C
2024,5,7,75,C
2024,5,8,71,C
2024,5,9,58,C
2024,5,10,66,C
2024,5,11,74,C
2024,5,12,80,C
2024,5,13,77,C
2024,5,14,60,C
2024,5,15,54,C
2024,5,16,47,C
2024,5,17,65,C
2024,5,18,60,C
2024,5,19,74,C
2024,5,20,87,C
2024,5,21,92,C
2024,5,22,85,C
2024,5,23,83,C
2024,5,24,87,C
2024,5,25,82,C
2024,5,26,79,C
2024,5,27,80,C
2024,5,28,79,C
2024,5,29,63,C
2024,5,30,79,C
2024,5,31,85,C
2024,6,1,83,C
2024,6,2,81,C
2024,6,3,87,C
2024,6,4,80,C
2024,6,5,83,C
2024,6,6,84,C
2024,6,7,85,C
2024,6,8,83,C
2024,6,9,86,C
2024,6,10,79,C
2024,6,11,77,C
2024,6,12,77,C
2024,6,13,74,C
2024,6,14,77,C
2024,6,15,80,C
2024,6,16,79,C
2024,6,17,72,C
2024,6,18,73,C
2024,6,19,73,C
2024,6,20,73,C
2024,6,21,71,C
2024,6,22,70,C
2024,6,23,73,C
2024,6,24,73,C
2024,6,25,74,C
2024,6,26,71,C
2024,6,27,72,C
2024,6,28,73,C
2024,6,29,74,C
2024,6,30,73,C
2024,7,1,72,C
2024,7,2,73,C
2024,7,3,68,C
2024,7,4,71,C
2024,7,5,72,C
2024,7,6,71,C
2024,7,7,71,C
2024,7,8,68,C
2024,7,9,68,C
2024,7,10,70,C
2024,7,11,72,C
2024,7,12,72,C
2024,7,13,73,C
2024,7,14,71,C
2024,7,15,76,C
2024,7,16,77,C
2024,7,17,74,C
2024,7,18,80,C
2024,7,19,82,C
2024,7,20,76,C
2024,7,21,77,C
2024,7,22,74,C
2024,7,23,73,C
2024,7,24,77,C
2024,7,25,74,C
2024,7,26,80,C
2024,7,27,81,C
2024,7,28,87,C
2024,7,29,85,C
2024,7,30,83,C
2024,7,31,84,C
2024,8,1,72,C
2024,8,2,73,C
2024,8,3,70,C
2024,8,4,71,C
2024,8,5,72,C
2024,8,6,71,C
2024,8,7,74,C
2024,8,8,69,C
2024,8,9,69,C
2024,8,10,73,C
2024,8,11,72,C
2024,8,12,78,C
2024,8,13,78,C
2024,8,14,78,C
2024,8,15,84,C
2024,8,16,79,C
2024,8,17,82,C
2024,8,18,81,C
2024,8,19,82,C
2024,8,20,83,C
2024,8,21,80,C
2024,8,22,75,C
2024,8,23,75,C
2024,8,24,72,C
2024,8,25,71,C
2024,8,26,72,C
2024,8,27,70,C
2024,8,28,71,C
2024,8,29,75,C
2024,8,30,76,C
2024,8,31,78,C
2024,9,1,74,C
2024,9,2,70,C
2024,9,3,71,C
2024,9,4,70,C
2024,9,5,71,C
2024,9,6,84,C
2024,9,7,81,C
2024,9,8,83,C
2024,9,9,76,C
2024,9,10,69,C
2024,9,11,68,C
2024,9,12,67,C
2024,9,13,68,C
2024,9,14,76,C
2024,9,15,68,C
2024,9,16,68,C
2024,9,17,65,C
2024,9,18,67,C
2024,9,19,65,C
2024,9,20,74,C
2024,9,21,88,C
2024,9,22,82,C
2024,9,23,88,C
2024,9,24,87,C
2024,9,25,76,C
2024,9,26,75,C
2024,9,27,73,C
2024,9,28,73,C
2024,9,29,71,C
2024,9,30,68,C
2024,10,1,56,C
2024,10,2,49,C
2024,10,3,43,C
2024,10,4,43,C
2024,10,5,54,C
2024,10,6,60,C
2024,10,7,58,C
2024,10,8,54,C
2024,10,9,62,C
2024,10,10,60,C
2024,10,11,68,C
2024,10,12,59,C
2024,10,13,65,C
2024,10,14,65,C
2024,10,15,67,C
2024,10,16,66,C
2024,10,17,69,C
2024,10,18,70,C
2024,10,19,70,C
2024,10,20,68,C
2024,10,21,69,C
2024,10,22,59,C
2024,10,23,52,C
2024,10,24,38,C
2024,10,25,40,C
2024,10,26,60,C
2024,10,27,68,C
2024,10,28,62,C
2024,10,29,63,C
2024,10,30,59,C
2024,10,31,51,C
2024,11,1,53,C
2024,11,2,59,C
2024,11,3,67,C
2024,11,4,69,C
2024,11,5,63,C
2024,11,6,57,C
2024,11,7,46,C
2024,11,8,42,C
2024,11,9,55,C
2024,11,10,75,C
2024,11,11,68,C
2024,11,12,68,C
2024,11,13,78,C
2024,11,14,87,C
2024,11,15,89,C
2024,11,16,83,C
2024,11,17,84,C
2024,11,18,65,C
2024,11,19,82,C
2024,11,20,91,C
2024,11,21,79,C
2024,11,22,69,C
2024,11,23,65,C
2024,11,24,77,C
2024,11,25,77,C
2024,11,26,59,C
2024,11,27,37,C
2024,11,28,28,C
2024,11,29,24,C
2024,11,30,43,C
2024,12,1,61,C
2024,12,2,62,C
2024,12,3,67,C
2024,12,4,63,C
2024,12,5,70,C
2024,12,6,68,C
2024,12,7,61,C
2024,12,8,60,C
2024,12,9,64,C
2024,12,10,64,C
2024,12,11,68,C
2024,12,12,58,C
2024,12,13,54,C
2024,12,14,43,C
2024,12,15,27,C
2024,12,16,31,C
2024,12,17,47,C
2024,12,18,34,C
2024,12,19,31,C
2024,12,20,37,C
2024,12,21,36,C
2024,12,22,37,C
2024,12,23,42,C
2024,12,24,45,C
2024,12,25,67,C
2024,12,26,71,C
2024,12,27,63,C
2024,12,28,36,C
2024,12,29,46,C
2024,12,30,56,C
2024,12,31,44,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
