平均相對濕度(百分比) - 黃竹坑
Mean Relative Humidity (%) - Wong Chuk Hang
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,73,C
2024,1,2,76,C
2024,1,3,64,C
2024,1,4,66,C
2024,1,5,75,C
2024,1,6,81,C
2024,1,7,70,C
2024,1,8,71,C
2024,1,9,80,C
2024,1,10,68,C
2024,1,11,68,C
2024,1,12,75,C
2024,1,13,55,C
2024,1,14,59,C
2024,1,15,69,C
2024,1,16,74,C
2024,1,17,67,C
2024,1,18,72,C
2024,1,19,76,C
2024,1,20,80,C
2024,1,21,66,C
2024,1,22,71,C
2024,1,23,72,C
2024,1,24,56,C
2024,1,25,54,C
2024,1,26,59,C
2024,1,27,64,C
2024,1,28,80,C
2024,1,29,79,C
2024,1,30,84,C
2024,1,31,88,C
2024,2,1,88,C
2024,2,2,85,C
2024,2,3,83,C
2024,2,4,87,C
2024,2,5,84,C
2024,2,6,84,C
2024,2,7,87,C
2024,2,8,81,C
2024,2,9,75,C
2024,2,10,72,C
2024,2,11,57,C
2024,2,12,50,C
2024,2,13,69,C
2024,2,14,76,C
2024,2,15,76,C
2024,2,16,80,C
2024,2,17,80,C
2024,2,18,82,C
2024,2,19,88,C
2024,2,20,88,C
2024,2,21,87,C
2024,2,22,85,C
2024,2,23,84,C
2024,2,24,76,C
2024,2,25,71,C
2024,2,26,76,C
2024,2,27,72,C
2024,2,28,84,C
2024,2,29,82,C
2024,3,1,70,C
2024,3,2,73,C
2024,3,3,80,C
2024,3,4,88,C
2024,3,5,90,C
2024,3,6,84,C
2024,3,7,72,C
2024,3,8,65,C
2024,3,9,73,C
2024,3,10,83,C
2024,3,11,91,C
2024,3,12,56,C
2024,3,13,65,C
2024,3,14,72,C
2024,3,15,79,C
2024,3,16,86,C
2024,3,17,86,C
2024,3,18,91,C
2024,3,19,71,C
2024,3,20,51,C
2024,3,21,65,C
2024,3,22,79,C
2024,3,23,84,C
2024,3,24,81,C
2024,3,25,84,C
2024,3,26,81,C
2024,3,27,82,C
2024,3,28,84,C
2024,3,29,85,C
2024,3,30,86,C
2024,3,31,93,C
2024,4,1,89,C
2024,4,2,86,C
2024,4,3,85,C
2024,4,4,87,C
2024,4,5,82,C
2024,4,6,89,C
2024,4,7,87,C
