平均相對濕度(百分比) - 將軍澳
Mean Relative Humidity (%) - Tseung Kwan O
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,79,C
2024,1,2,81,C
2024,1,3,68,C
2024,1,4,74,C
2024,1,5,80,C
2024,1,6,81,C
2024,1,7,76,C
2024,1,8,76,C
2024,1,9,82,C
2024,1,10,72,C
2024,1,11,73,C
2024,1,12,80,C
2024,1,13,67,C
2024,1,14,61,C
2024,1,15,78,C
2024,1,16,77,C
2024,1,17,77,C
2024,1,18,80,C
2024,1,19,82,C
2024,1,20,77,C
2024,1,21,72,C
2024,1,22,76,C
2024,1,23,78,C
2024,1,24,61,C
2024,1,25,58,C
2024,1,26,63,C
2024,1,27,67,C
2024,1,28,88,C
2024,1,29,86,C
2024,1,30,91,C
2024,1,31,98,C
2024,2,1,97,C
2024,2,2,94,C
2024,2,3,91,C
2024,2,4,98,C
2024,2,5,92,C
2024,2,6,91,C
2024,2,7,97,C
2024,2,8,91,C
2024,2,9,83,C
2024,2,10,80,C
2024,2,11,67,C
2024,2,12,59,C
2024,2,13,75,C
2024,2,14,83,C
2024,2,15,77,C
2024,2,16,85,C
2024,2,17,87,C
2024,2,18,92,C
2024,2,19,93,C
2024,2,20,93,C
2024,2,21,89,C
2024,2,22,92,C
2024,2,23,88,C
2024,2,24,75,C
2024,2,25,75,C
2024,2,26,80,C
2024,2,27,79,C
2024,2,28,89,C
2024,2,29,89,C
2024,3,1,75,C
2024,3,2,77,C
2024,3,3,86,C
2024,3,4,99,C
2024,3,5,96,C
2024,3,6,89,C
2024,3,7,77,C
2024,3,8,70,C
2024,3,9,78,C
2024,3,10,89,C
2024,3,11,97,C
2024,3,12,72,C
2024,3,13,71,C
2024,3,14,75,C
2024,3,15,84,C
2024,3,16,95,C
2024,3,17,91,C
2024,3,18,98,C
2024,3,19,75,C
2024,3,20,58,C
2024,3,21,67,C
2024,3,22,88,C
2024,3,23,89,C
2024,3,24,83,C
2024,3,25,82,C
2024,3,26,80,C
2024,3,27,87,C
2024,3,28,83,C
2024,3,29,83,C
2024,3,30,87,C
2024,3,31,92,C
2024,4,1,89,C
2024,4,2,88,#
2024,4,3,87,C
2024,4,4,90,C
2024,4,5,86,C
2024,4,6,97,C
2024,4,7,96,C
2024,4,8,92,C
2024,4,9,87,C
2024,4,10,74,C
2024,4,11,84,C
2024,4,12,84,C
2024,4,13,82,C
2024,4,14,86,C
2024,4,15,85,C
2024,4,16,81,C
2024,4,17,83,C
2024,4,18,92,C
2024,4,19,90,C
2024,4,20,89,C
2024,4,21,98,C
2024,4,22,97,C
2024,4,23,99,C
2024,4,24,96,C
2024,4,25,94,C
2024,4,26,96,C
2024,4,27,92,C
2024,4,28,98,C
2024,4,29,94,C
2024,4,30,88,C
2024,5,1,98,C
2024,5,2,96,C
2024,5,3,93,C
2024,5,4,99,C
2024,5,5,92,C
2024,5,6,89,C
2024,5,7,90,C
2024,5,8,84,C
2024,5,9,71,C
2024,5,10,76,C
2024,5,11,85,C
2024,5,12,92,C
2024,5,13,86,C
2024,5,14,68,C
2024,5,15,70,C
2024,5,16,68,C
2024,5,17,75,C
2024,5,18,78,C
2024,5,19,89,C
2024,5,20,98,C
2024,5,21,99,C
2024,5,22,97,C
2024,5,23,98,C
2024,5,24,99,C
2024,5,25,98,C
2024,5,26,94,C
2024,5,27,90,C
2024,5,28,88,C
2024,5,29,74,C
2024,5,30,92,C
2024,5,31,95,C
2024,6,1,94,C
2024,6,2,88,C
2024,6,3,98,C
2024,6,4,93,C
2024,6,5,97,C
2024,6,6,94,C
2024,6,7,98,C
2024,6,8,98,C
2024,6,9,99,C
2024,6,10,94,C
2024,6,11,90,C
2024,6,12,85,C
2024,6,13,88,C
2024,6,14,90,C
2024,6,15,92,C
2024,6,16,94,C
2024,6,17,85,C
2024,6,18,89,C
2024,6,19,88,C
2024,6,20,88,C
2024,6,21,84,C
2024,6,22,82,C
2024,6,23,84,C
2024,6,24,86,C
2024,6,25,86,C
2024,6,26,89,C
