平均相對濕度(百分比) - 京士柏
Mean Relative Humidity (%) - King's Park
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,75,C
2024,1,2,75,C
2024,1,3,60,C
2024,1,4,64,C
2024,1,5,73,C
2024,1,6,75,C
2024,1,7,70,C
2024,1,8,72,C
2024,1,9,76,C
2024,1,10,63,C
2024,1,11,67,C
2024,1,12,74,C
2024,1,13,53,C
2024,1,14,54,C
2024,1,15,70,C
2024,1,16,73,C
2024,1,17,70,C
2024,1,18,72,C
2024,1,19,75,C
2024,1,20,72,C
2024,1,21,64,C
2024,1,22,69,C
2024,1,23,70,C
2024,1,24,52,C
2024,1,25,49,C
2024,1,26,56,C
2024,1,27,62,C
2024,1,28,81,C
2024,1,29,81,C
2024,1,30,88,C
2024,1,31,92,C
2024,2,1,92,C
2024,2,2,87,C
2024,2,3,85,C
2024,2,4,93,C
2024,2,5,86,C
2024,2,6,86,C
2024,2,7,90,C
2024,2,8,83,C
2024,2,9,73,C
2024,2,10,68,C
2024,2,11,52,C
2024,2,12,48,C
2024,2,13,69,C
2024,2,14,78,C
2024,2,15,69,C
2024,2,16,76,C
2024,2,17,82,C
2024,2,18,88,C
2024,2,19,89,C
2024,2,20,87,C
2024,2,21,82,C
2024,2,22,87,C
2024,2,23,85,C
2024,2,24,71,C
2024,2,25,69,C
2024,2,26,75,C
2024,2,27,70,C
2024,2,28,86,C
2024,2,29,84,C
2024,3,1,69,C
2024,3,2,73,C
2024,3,3,81,C
2024,3,4,92,C
2024,3,5,86,C
2024,3,6,83,C
2024,3,7,70,C
2024,3,8,61,C
2024,3,9,72,C
2024,3,10,84,C
2024,3,11,90,C
2024,3,12,56,C
2024,3,13,64,C
2024,3,14,70,C
2024,3,15,79,C
2024,3,16,89,C
2024,3,17,86,C
2024,3,18,92,C
2024,3,19,65,C
2024,3,20,50,C
2024,3,21,63,C
2024,3,22,84,C
2024,3,23,86,C
2024,3,24,78,C
2024,3,25,80,C
2024,3,26,78,C
2024,3,27,83,C
2024,3,28,82,C
2024,3,29,83,C
2024,3,30,81,C
2024,3,31,85,C
2024,4,1,82,C
2024,4,2,80,C
2024,4,3,79,C
2024,4,4,82,C
2024,4,5,82,C
2024,4,6,91,C
2024,4,7,88,C
2024,4,8,87,C
