平均相對濕度(百分比) - 滘西洲
Mean Relative Humidity (%) - Kau Sai Chau
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,78,C
2024,1,2,81,C
2024,1,3,68,C
2024,1,4,73,C
2024,1,5,81,C
2024,1,6,83,C
2024,1,7,77,C
2024,1,8,77,C
2024,1,9,85,C
2024,1,10,72,C
2024,1,11,74,C
2024,1,12,83,C
2024,1,13,69,C
2024,1,14,60,C
2024,1,15,79,C
2024,1,16,77,C
2024,1,17,79,C
2024,1,18,81,C
2024,1,19,85,C
2024,1,20,78,C
2024,1,21,70,C
2024,1,22,76,C
2024,1,23,79,C
2024,1,24,61,C
2024,1,25,56,C
2024,1,26,62,C
2024,1,27,68,C
2024,1,28,86,C
2024,1,29,85,C
2024,1,30,90,C
2024,1,31,95,C
2024,2,1,96,C
2024,2,2,94,C
2024,2,3,90,C
2024,2,4,98,C
2024,2,5,90,C
2024,2,6,90,C
2024,2,7,96,C
2024,2,8,90,C
2024,2,9,79,C
2024,2,10,74,C
2024,2,11,58,C
2024,2,12,54,C
2024,2,13,71,C
2024,2,14,83,C
2024,2,15,76,C
2024,2,16,82,C
2024,2,17,88,#
2024,2,18,***,
2024,2,19,95,C
2024,2,20,95,C
2024,2,21,93,C
2024,2,22,94,C
2024,2,23,86,C
2024,2,24,77,C
2024,2,25,75,C
2024,2,26,80,C
2024,2,27,76,C
2024,2,28,89,C
2024,2,29,89,C
2024,3,1,77,C
2024,3,2,78,C
2024,3,3,85,C
2024,3,4,98,C
2024,3,5,95,C
2024,3,6,89,C
2024,3,7,77,C
2024,3,8,70,C
2024,3,9,79,C
2024,3,10,90,C
2024,3,11,95,C
2024,3,12,69,C
2024,3,13,68,C
2024,3,14,74,C
2024,3,15,84,C
2024,3,16,94,C
2024,3,17,92,C
2024,3,18,96,C
2024,3,19,73,C
2024,3,20,59,C
2024,3,21,67,C
2024,3,22,89,C
2024,3,23,91,C
2024,3,24,87,C
2024,3,25,86,C
2024,3,26,81,C
2024,3,27,89,C
2024,3,28,88,C
2024,3,29,87,C
2024,3,30,91,C
2024,3,31,93,C
2024,4,1,92,C
2024,4,2,88,C
2024,4,3,92,C
2024,4,4,93,C
2024,4,5,90,C
2024,4,6,95,C
2024,4,7,95,C
2024,4,8,94,C
2024,4,9,86,C
2024,4,10,74,C
2024,4,11,84,C
2024,4,12,88,C
2024,4,13,86,C
2024,4,14,88,#
2024,4,15,89,C
2024,4,16,84,C
2024,4,17,87,C
2024,4,18,92,C
2024,4,19,92,C
2024,4,20,90,C
2024,4,21,96,C
2024,4,22,96,C
2024,4,23,98,C
2024,4,24,95,C
2024,4,25,91,C
2024,4,26,96,C
2024,4,27,93,C
2024,4,28,97,C
2024,4,29,95,C
2024,4,30,90,C
2024,5,1,98,C
2024,5,2,94,C
2024,5,3,89,C
2024,5,4,99,C
2024,5,5,91,C
2024,5,6,92,C
2024,5,7,89,C
2024,5,8,85,C
2024,5,9,72,C
2024,5,10,77,C
2024,5,11,85,C
2024,5,12,94,C
2024,5,13,86,C
2024,5,14,70,C
2024,5,15,71,C
2024,5,16,71,C
2024,5,17,75,C
2024,5,18,79,C
2024,5,19,88,C
2024,5,20,98,C
2024,5,21,99,C
2024,5,22,95,C
2024,5,23,98,C
2024,5,24,99,C
2024,5,25,97,C
2024,5,26,95,C
2024,5,27,90,C
2024,5,28,90,C
2024,5,29,74,C
2024,5,30,91,C
2024,5,31,95,C
2024,6,1,93,C
2024,6,2,86,C
2024,6,3,97,C
2024,6,4,89,C
2024,6,5,95,C
2024,6,6,95,C
2024,6,7,97,C
2024,6,8,98,C
2024,6,9,98,C
2024,6,10,95,C
2024,6,11,93,C
2024,6,12,90,C
2024,6,13,90,C
2024,6,14,92,C
2024,6,15,92,C
2024,6,16,94,C
2024,6,17,87,C
2024,6,18,91,C
2024,6,19,89,C
2024,6,20,92,C
2024,6,21,87,C
2024,6,22,86,C
2024,6,23,87,C
2024,6,24,88,C
2024,6,25,88,C
2024,6,26,91,C
2024,6,27,87,C
2024,6,28,86,C
2024,6,29,90,C
2024,6,30,88,C
2024,7,1,86,C
2024,7,2,85,C
2024,7,3,85,C
2024,7,4,86,C
2024,7,5,84,C
2024,7,6,86,C
2024,7,7,85,C
2024,7,8,81,C
2024,7,9,81,C
2024,7,10,81,C
2024,7,11,81,C
2024,7,12,85,C
2024,7,13,85,C
2024,7,14,87,C
2024,7,15,90,C
2024,7,16,93,C
2024,7,17,88,C
2024,7,18,89,C
2024,7,19,93,C
2024,7,20,91,C
2024,7,21,86,C
2024,7,22,85,C
2024,7,23,83,C
2024,7,24,81,C
2024,7,25,79,C
2024,7,26,91,C
2024,7,27,96,C
2024,7,28,98,C
2024,7,29,95,C
2024,7,30,92,C
2024,7,31,95,C
2024,8,1,87,C
