平均相對濕度(百分比) - 流浮山
Mean Relative Humidity (%) - Lau Fau Shan
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,77,C
2024,1,2,78,C
2024,1,3,69,C
2024,1,4,70,C
2024,1,5,82,C
2024,1,6,82,C
2024,1,7,75,C
2024,1,8,74,C
2024,1,9,81,C
2024,1,10,69,C
2024,1,11,70,C
2024,1,12,82,C
2024,1,13,85,#
2024,1,14,***,
2024,1,15,67,#
2024,1,16,76,C
2024,1,17,78,C
2024,1,18,80,C
2024,1,19,83,C
2024,1,20,83,C
2024,1,21,67,C
2024,1,22,74,C
2024,1,23,91,#
2024,1,24,57,#
2024,1,25,56,C
2024,1,26,62,C
2024,1,27,70,C
2024,1,28,87,C
2024,1,29,84,C
2024,1,30,91,C
2024,1,31,92,C
2024,2,1,94,C
2024,2,2,92,C
2024,2,3,87,C
2024,2,4,91,C
2024,2,5,89,C
2024,2,6,85,C
2024,2,7,96,C
2024,2,8,94,C
2024,2,9,84,C
2024,2,10,68,C
2024,2,11,62,C
2024,2,12,50,C
2024,2,13,80,C
2024,2,14,86,C
2024,2,15,81,C
2024,2,16,78,C
2024,2,17,81,C
2024,2,18,81,C
2024,2,19,87,C
2024,2,20,82,C
2024,2,21,82,C
2024,2,22,84,C
2024,2,23,80,C
2024,2,24,74,C
2024,2,25,75,C
2024,2,26,74,C
2024,2,27,69,C
2024,2,28,81,C
2024,2,29,92,C
2024,3,1,82,C
2024,3,2,81,C
2024,3,3,84,C
2024,3,4,89,C
2024,3,5,85,C
2024,3,6,86,C
2024,3,7,78,C
2024,3,8,68,C
2024,3,9,84,C
2024,3,10,96,C
2024,3,11,99,C
2024,3,12,71,C
2024,3,13,67,C
2024,3,14,74,C
2024,3,15,84,C
2024,3,16,91,C
2024,3,17,93,C
2024,3,18,93,#
2024,3,19,77,C
2024,3,20,59,C
2024,3,21,64,C
2024,3,22,79,C
2024,3,23,84,C
2024,3,24,78,C
2024,3,25,85,C
2024,3,26,83,C
2024,3,27,80,C
2024,3,28,86,C
2024,3,29,87,C
2024,3,30,85,#
2024,3,31,***,
2024,4,1,***,
2024,4,2,76,#
2024,4,3,85,C
2024,4,4,84,C
2024,4,5,81,C
2024,4,6,94,C
2024,4,7,95,C
2024,4,8,96,C
2024,4,9,89,C
2024,4,10,73,C
2024,4,11,82,C
2024,4,12,86,C
2024,4,13,84,C
2024,4,14,80,C
2024,4,15,84,C
2024,4,16,83,#
2024,4,17,78,C
2024,4,18,86,C
2024,4,19,90,C
2024,4,20,88,C
2024,4,21,99,C
2024,4,22,96,C
2024,4,23,98,C
2024,4,24,94,C
2024,4,25,92,C
2024,4,26,94,C
2024,4,27,90,C
2024,4,28,94,C
2024,4,29,88,C
2024,4,30,86,C
2024,5,1,99,C
2024,5,2,94,C
2024,5,3,90,C
2024,5,4,99,C
2024,5,5,***,
2024,5,6,82,#
2024,5,7,84,C
2024,5,8,85,C
2024,5,9,66,C
2024,5,10,75,C
2024,5,11,84,C
2024,5,12,92,C
2024,5,13,89,C
2024,5,14,75,C
2024,5,15,73,C
2024,5,16,66,#
2024,5,17,76,#
2024,5,18,75,C
2024,5,19,83,C
2024,5,20,97,C
2024,5,21,99,C
2024,5,22,94,C
2024,5,23,95,C
2024,5,24,99,C
2024,5,25,95,C
2024,5,26,94,C
2024,5,27,94,C
2024,5,28,90,C
2024,5,29,73,C
2024,5,30,89,C
2024,5,31,97,C
2024,6,1,97,C
2024,6,2,90,C
2024,6,3,96,C
2024,6,4,92,C
2024,6,5,90,C
2024,6,6,93,C
2024,6,7,96,C
2024,6,8,93,C
2024,6,9,99,C
2024,6,10,92,C
2024,6,11,91,C
2024,6,12,89,C
2024,6,13,86,C
2024,6,14,94,C
2024,6,15,97,C
2024,6,16,93,C
2024,6,17,89,C
2024,6,18,87,C
2024,6,19,86,C
2024,6,20,87,C
2024,6,21,83,C
2024,6,22,81,C
2024,6,23,87,C
2024,6,24,89,C
2024,6,25,88,C
2024,6,26,84,C
2024,6,27,86,C
2024,6,28,83,C
2024,6,29,88,C
2024,6,30,89,C
2024,7,1,81,C
2024,7,2,83,C
2024,7,3,77,C
2024,7,4,85,C
2024,7,5,82,C
2024,7,6,83,C
2024,7,7,80,C
2024,7,8,82,C
2024,7,9,81,C
2024,7,10,82,C
2024,7,11,82,C
2024,7,12,83,C
2024,7,13,82,C
2024,7,14,80,C
2024,7,15,88,C
2024,7,16,93,C
2024,7,17,90,C
2024,7,18,93,C
2024,7,19,96,C
2024,7,20,89,C
2024,7,21,85,C
2024,7,22,83,C
2024,7,23,84,C
2024,7,24,85,C
2024,7,25,82,C
2024,7,26,94,C
2024,7,27,95,C
2024,7,28,98,C
2024,7,29,97,C
2024,7,30,94,C
2024,7,31,99,C
2024,8,1,87,C
2024,8,2,85,C
2024,8,3,82,C
2024,8,4,82,C
2024,8,5,83,C
2024,8,6,85,C
2024,8,7,83,C
2024,8,8,82,C
2024,8,9,82,C
2024,8,10,85,C
2024,8,11,85,C
2024,8,12,89,C
2024,8,13,86,C
2024,8,14,93,C
2024,8,15,96,C
2024,8,16,91,C
2024,8,17,98,C
2024,8,18,95,C
2024,8,19,97,C
2024,8,20,94,C
2024,8,21,95,C
2024,8,22,89,C
2024,8,23,87,C
2024,8,24,81,C
2024,8,25,81,C
2024,8,26,80,C
2024,8,27,80,C
2024,8,28,86,C
2024,8,29,89,C
2024,8,30,92,C
2024,8,31,90,C
2024,9,1,85,C
2024,9,2,84,C
2024,9,3,83,C
2024,9,4,87,C
2024,9,5,84,C
2024,9,6,100,C
2024,9,7,96,C
2024,9,8,98,C
2024,9,9,90,C
2024,9,10,81,C
2024,9,11,84,C
2024,9,12,84,C
2024,9,13,85,C
2024,9,14,92,C
2024,9,15,80,C
2024,9,16,82,C
2024,9,17,80,C
2024,9,18,79,C
2024,9,19,78,C
2024,9,20,87,C
2024,9,21,98,C
2024,9,22,94,C
2024,9,23,95,C
2024,9,24,99,C
2024,9,25,89,C
2024,9,26,84,C
2024,9,27,83,C
2024,9,28,88,C
2024,9,29,84,C
2024,9,30,76,C
2024,10,1,70,C
2024,10,2,62,C
2024,10,3,54,C
2024,10,4,53,C
2024,10,5,63,C
2024,10,6,71,C
2024,10,7,67,C
2024,10,8,63,C
2024,10,9,72,C
2024,10,10,69,C
2024,10,11,77,C
2024,10,12,73,C
2024,10,13,76,C
2024,10,14,75,C
2024,10,15,77,C
2024,10,16,76,C
2024,10,17,77,C
2024,10,18,81,C
2024,10,19,81,C
2024,10,20,80,C
2024,10,21,75,#
2024,10,22,57,#
2024,10,23,63,C
2024,10,24,53,C
2024,10,25,53,C
2024,10,26,66,C
2024,10,27,75,C
2024,10,28,71,C
2024,10,29,71,C
2024,10,30,69,C
2024,10,31,61,C
2024,11,1,62,C
2024,11,2,69,C
2024,11,3,74,C
2024,11,4,79,C
2024,11,5,66,C
2024,11,6,61,C
2024,11,7,53,C
2024,11,8,52,C
2024,11,9,62,C
2024,11,10,79,C
2024,11,11,77,C
2024,11,12,78,C
2024,11,13,89,C
2024,11,14,99,C
2024,11,15,100,C
2024,11,16,95,C
2024,11,17,96,C
2024,11,18,78,C
2024,11,19,93,C
2024,11,20,100,C
2024,11,21,90,C
2024,11,22,79,C
2024,11,23,77,C
2024,11,24,89,C
2024,11,25,91,C
2024,11,26,72,C
2024,11,27,51,C
2024,11,28,43,C
2024,11,29,41,C
2024,11,30,56,C
2024,12,1,77,C
2024,12,2,77,C
2024,12,3,83,C
2024,12,4,79,C
2024,12,5,85,C
2024,12,6,79,C
2024,12,7,73,C
2024,12,8,69,C
2024,12,9,75,C
2024,12,10,78,C
2024,12,11,78,C
2024,12,12,68,C
2024,12,13,65,C
2024,12,14,55,C
2024,12,15,40,C
2024,12,16,44,C
2024,12,17,59,C
2024,12,18,48,C
2024,12,19,43,C
2024,12,20,46,C
2024,12,21,50,C
2024,12,22,47,C
2024,12,23,54,C
2024,12,24,53,C
2024,12,25,75,C
2024,12,26,77,C
2024,12,27,66,C
2024,12,28,47,C
2024,12,29,58,C
2024,12,30,71,C
2024,12,31,57,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
