平均相對濕度(百分比) - 坪洲
Mean Relative Humidity (%) - Peng Chau
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,76,C
2024,1,2,78,C
2024,1,3,68,C
2024,1,4,69,C
2024,1,5,78,C
2024,1,6,80,C
2024,1,7,73,C
2024,1,8,75,C
2024,1,9,80,C
2024,1,10,74,C
2024,1,11,69,C
2024,1,12,75,C
2024,1,13,59,C
2024,1,14,61,C
2024,1,15,70,C
2024,1,16,75,C
2024,1,17,75,C
2024,1,18,75,C
2024,1,19,80,C
2024,1,20,79,C
2024,1,21,69,C
2024,1,22,76,C
2024,1,23,78,C
2024,1,24,60,C
2024,1,25,56,C
2024,1,26,60,C
2024,1,27,66,C
2024,1,28,85,C
2024,1,29,82,C
2024,1,30,89,C
2024,1,31,92,C
2024,2,1,91,C
2024,2,2,88,C
2024,2,3,87,C
2024,2,4,92,C
2024,2,5,88,C
2024,2,6,87,C
2024,2,7,90,C
2024,2,8,88,C
2024,2,9,80,C
2024,2,10,73,C
2024,2,11,55,C
2024,2,12,52,C
2024,2,13,74,C
2024,2,14,81,C
2024,2,15,74,C
2024,2,16,80,C
2024,2,17,84,C
2024,2,18,87,C
2024,2,19,92,C
2024,2,20,90,C
2024,2,21,88,C
2024,2,22,90,C
2024,2,23,87,C
2024,2,24,73,C
2024,2,25,73,C
2024,2,26,75,C
2024,2,27,70,C
2024,2,28,86,C
2024,2,29,86,C
2024,3,1,78,C
2024,3,2,76,C
2024,3,3,83,C
2024,3,4,90,C
2024,3,5,92,C
2024,3,6,84,C
2024,3,7,76,C
2024,3,8,67,C
2024,3,9,76,C
2024,3,10,86,C
2024,3,11,94,C
2024,3,12,66,C
2024,3,13,68,C
2024,3,14,76,C
2024,3,15,83,C
2024,3,16,90,C
2024,3,17,87,C
2024,3,18,93,C
2024,3,19,76,C
2024,3,20,56,C
2024,3,21,67,C
2024,3,22,84,C
2024,3,23,88,C
2024,3,24,82,C
2024,3,25,87,C
2024,3,26,81,C
2024,3,27,85,C
2024,3,28,86,C
2024,3,29,87,C
2024,3,30,88,C
2024,3,31,93,C
2024,4,1,91,C
2024,4,2,87,C
2024,4,3,88,C
2024,4,4,88,C
2024,4,5,88,C
2024,4,6,91,C
2024,4,7,92,C
2024,4,8,90,C
2024,4,9,81,C
2024,4,10,70,C
2024,4,11,80,C
2024,4,12,83,C
2024,4,13,85,C
2024,4,14,86,C
2024,4,15,88,C
2024,4,16,83,C
2024,4,17,87,C
2024,4,18,89,C
2024,4,19,88,C
2024,4,20,89,C
2024,4,21,92,C
2024,4,22,93,C
2024,4,23,95,C
2024,4,24,91,C
2024,4,25,90,C
2024,4,26,94,C
2024,4,27,93,C
2024,4,28,92,C
2024,4,29,91,C
2024,4,30,92,C
2024,5,1,95,C
2024,5,2,91,C
2024,5,3,88,C
2024,5,4,95,C
2024,5,5,88,C
2024,5,6,87,C
2024,5,7,82,C
2024,5,8,79,C
2024,5,9,69,C
2024,5,10,75,C
2024,5,11,82,C
2024,5,12,89,C
2024,5,13,84,C
2024,5,14,68,C
2024,5,15,64,C
2024,5,16,61,C
2024,5,17,74,C
2024,5,18,72,C
2024,5,19,84,C
2024,5,20,93,C
2024,5,21,96,C
2024,5,22,93,C
2024,5,23,93,C
2024,5,24,94,C
2024,5,25,92,C
2024,5,26,91,C
2024,5,27,91,C
2024,5,28,87,C
2024,5,29,73,C
2024,5,30,89,C
2024,5,31,93,C
2024,6,1,94,C
2024,6,2,90,C
2024,6,3,94,C
2024,6,4,87,C
2024,6,5,92,C
2024,6,6,90,C
2024,6,7,93,C
2024,6,8,91,C
2024,6,9,95,C
2024,6,10,91,C
2024,6,11,94,C
2024,6,12,91,C
2024,6,13,92,C
2024,6,14,94,C
2024,6,15,95,C
2024,6,16,93,C
2024,6,17,89,C
2024,6,18,89,C
2024,6,19,88,C
