平均相對濕度(百分比) - 石崗
Mean Relative Humidity (%) - Shek Kong
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,69,C
2024,1,2,74,C
2024,1,3,66,C
2024,1,4,68,C
2024,1,5,80,C
2024,1,6,80,C
2024,1,7,71,C
2024,1,8,68,C
2024,1,9,76,C
2024,1,10,67,C
2024,1,11,66,C
2024,1,12,78,C
2024,1,13,55,C
2024,1,14,59,C
2024,1,15,71,C
2024,1,16,71,C
2024,1,17,74,C
2024,1,18,77,C
2024,1,19,81,C
2024,1,20,79,C
2024,1,21,65,C
2024,1,22,70,C
2024,1,23,74,C
2024,1,24,55,C
2024,1,25,50,C
2024,1,26,55,C
2024,1,27,63,C
2024,1,28,84,C
2024,1,29,82,C
2024,1,30,88,C
2024,1,31,88,C
2024,2,1,87,C
2024,2,2,84,C
2024,2,3,80,C
2024,2,4,87,C
2024,2,5,84,C
2024,2,6,81,C
2024,2,7,91,C
2024,2,8,86,C
2024,2,9,77,C
2024,2,10,67,C
2024,2,11,60,C
2024,2,12,44,C
2024,2,13,73,C
2024,2,14,82,C
2024,2,15,74,C
2024,2,16,79,C
2024,2,17,77,C
2024,2,18,78,C
2024,2,19,82,C
2024,2,20,78,C
2024,2,21,78,C
2024,2,22,82,C
2024,2,23,80,C
2024,2,24,71,C
2024,2,25,69,C
2024,2,26,70,C
2024,2,27,65,C
2024,2,28,82,C
2024,2,29,86,C
2024,3,1,72,C
2024,3,2,75,C
2024,3,3,80,C
2024,3,4,82,C
2024,3,5,84,C
2024,3,6,83,C
2024,3,7,74,C
2024,3,8,63,C
2024,3,9,73,C
2024,3,10,87,C
2024,3,11,95,C
2024,3,12,65,C
2024,3,13,65,C
2024,3,14,71,C
2024,3,15,80,C
2024,3,16,87,C
2024,3,17,85,C
2024,3,18,88,C
2024,3,19,73,C
2024,3,20,53,C
2024,3,21,59,C
2024,3,22,75,C
2024,3,23,77,C
2024,3,24,73,C
2024,3,25,79,C
2024,3,26,77,C
2024,3,27,80,C
2024,3,28,80,C
2024,3,29,79,C
2024,3,30,78,C
2024,3,31,86,C
2024,4,1,80,C
2024,4,2,77,C
2024,4,3,79,C
2024,4,4,79,C
2024,4,5,74,C
2024,4,6,88,C
2024,4,7,88,C
2024,4,8,89,C
2024,4,9,80,C
2024,4,10,66,C
2024,4,11,75,C
2024,4,12,79,C
2024,4,13,78,C
2024,4,14,76,C
2024,4,15,81,C
2024,4,16,78,C
2024,4,17,79,C
2024,4,18,87,C
2024,4,19,79,C
2024,4,20,83,C
2024,4,21,91,C
2024,4,22,95,C
2024,4,23,94,#
2024,4,24,88,C
2024,4,25,87,C
2024,4,26,93,C
2024,4,27,87,C
2024,4,28,87,C
2024,4,29,83,C
2024,4,30,85,C
2024,5,1,97,C
2024,5,2,90,C
2024,5,3,86,C
2024,5,4,96,C
2024,5,5,89,C
2024,5,6,82,C
2024,5,7,82,C
2024,5,8,76,C
2024,5,9,61,C
2024,5,10,72,C
2024,5,11,77,C
2024,5,12,87,C
2024,5,13,85,C
2024,5,14,66,C
2024,5,15,62,C
2024,5,16,52,C
2024,5,17,69,C
2024,5,18,69,C
2024,5,19,78,C
2024,5,20,92,C
2024,5,21,96,C
2024,5,22,90,C
2024,5,23,92,C
2024,5,24,96,C
2024,5,25,93,C
2024,5,26,89,C
2024,5,27,87,C
2024,5,28,84,C
2024,5,29,66,C
2024,5,30,85,C
2024,5,31,89,C
2024,6,1,90,C
2024,6,2,85,C
2024,6,3,90,C
2024,6,4,83,C
2024,6,5,87,C
2024,6,6,88,C
2024,6,7,91,C
2024,6,8,87,C
2024,6,9,96,C
2024,6,10,85,C
2024,6,11,87,C
2024,6,12,88,C
2024,6,13,85,C
2024,6,14,91,C
2024,6,15,95,C
2024,6,16,92,C
2024,6,17,83,C
2024,6,18,83,C
2024,6,19,80,C
2024,6,20,79,C
2024,6,21,76,C
2024,6,22,76,C
2024,6,23,78,C
2024,6,24,77,C
2024,6,25,78,C
2024,6,26,78,C
2024,6,27,78,C
2024,6,28,77,C
2024,6,29,84,C
2024,6,30,83,C
2024,7,1,82,C
2024,7,2,85,C
2024,7,3,76,C
2024,7,4,81,C
2024,7,5,79,C
2024,7,6,81,C
2024,7,7,78,C
2024,7,8,75,C
2024,7,9,73,C
2024,7,10,73,C
2024,7,11,80,C
2024,7,12,83,C
2024,7,13,78,C
2024,7,14,79,C
2024,7,15,83,C
2024,7,16,89,C
2024,7,17,83,C
2024,7,18,86,C
2024,7,19,93,C
2024,7,20,82,C
2024,7,21,82,C
2024,7,22,77,C
2024,7,23,77,C
2024,7,24,81,C
2024,7,25,77,C
2024,7,26,90,C
2024,7,27,92,C
2024,7,28,93,C
2024,7,29,90,C
2024,7,30,90,#
2024,7,31,93,C
2024,8,1,85,C
2024,8,2,80,C
2024,8,3,78,C
2024,8,4,74,C
2024,8,5,74,C
2024,8,6,81,C
2024,8,7,83,C
2024,8,8,80,C
2024,8,9,77,C
2024,8,10,81,C
2024,8,11,82,C
2024,8,12,86,C
2024,8,13,88,C
2024,8,14,94,C
2024,8,15,96,C
2024,8,16,87,C
2024,8,17,92,C
2024,8,18,92,C
2024,8,19,94,C
2024,8,20,92,C
2024,8,21,92,C
2024,8,22,85,C
2024,8,23,83,C
2024,8,24,77,C
2024,8,25,76,C
2024,8,26,77,C
2024,8,27,74,C
2024,8,28,81,C
2024,8,29,86,C
2024,8,30,81,C
2024,8,31,85,C
2024,9,1,85,C
2024,9,2,83,C
2024,9,3,80,C
2024,9,4,82,C
2024,9,5,79,C
2024,9,6,91,C
2024,9,7,85,C
2024,9,8,92,C
2024,9,9,82,C
2024,9,10,75,C
2024,9,11,78,C
2024,9,12,80,C
2024,9,13,79,C
2024,9,14,87,C
2024,9,15,77,C
2024,9,16,76,C
2024,9,17,75,C
2024,9,18,75,C
2024,9,19,72,C
2024,9,20,82,C
2024,9,21,94,C
2024,9,22,91,C
2024,9,23,93,C
2024,9,24,95,C
2024,9,25,87,C
2024,9,26,82,C
2024,9,27,78,C
2024,9,28,84,C
2024,9,29,80,C
2024,9,30,76,C
2024,10,1,67,C
2024,10,2,56,C
2024,10,3,51,C
2024,10,4,53,C
2024,10,5,65,C
2024,10,6,72,C
2024,10,7,69,C
2024,10,8,64,C
2024,10,9,74,C
2024,10,10,68,C
2024,10,11,77,C
2024,10,12,69,C
2024,10,13,73,C
2024,10,14,74,C
2024,10,15,73,C
2024,10,16,73,C
2024,10,17,75,C
2024,10,18,77,C
2024,10,19,75,C
2024,10,20,76,C
2024,10,21,74,C
2024,10,22,67,C
2024,10,23,59,C
2024,10,24,43,C
2024,10,25,47,C
2024,10,26,66,C
2024,10,27,75,C
2024,10,28,70,C
2024,10,29,71,C
2024,10,30,66,C
2024,10,31,59,C
2024,11,1,59,C
2024,11,2,67,C
2024,11,3,77,C
2024,11,4,79,C
2024,11,5,69,C
2024,11,6,63,C
2024,11,7,58,C
2024,11,8,55,C
2024,11,9,62,C
2024,11,10,82,C
2024,11,11,79,C
2024,11,12,80,C
2024,11,13,91,C
2024,11,14,94,C
2024,11,15,97,C
2024,11,16,94,C
2024,11,17,92,C
2024,11,18,77,C
2024,11,19,89,C
2024,11,20,98,C
2024,11,21,86,C
2024,11,22,74,C
2024,11,23,76,C
2024,11,24,82,C
2024,11,25,86,C
2024,11,26,65,C
2024,11,27,46,C
2024,11,28,46,C
2024,11,29,40,C
2024,11,30,64,C
2024,12,1,75,C
2024,12,2,75,C
2024,12,3,76,C
2024,12,4,72,C
2024,12,5,80,C
2024,12,6,78,C
2024,12,7,70,C
2024,12,8,65,C
2024,12,9,72,C
2024,12,10,72,C
2024,12,11,70,C
2024,12,12,64,C
2024,12,13,59,C
2024,12,14,48,C
2024,12,15,34,C
2024,12,16,43,C
2024,12,17,62,C
2024,12,18,45,C
2024,12,19,47,C
2024,12,20,49,C
2024,12,21,51,C
2024,12,22,51,C
2024,12,23,50,C
2024,12,24,52,C
2024,12,25,69,C
2024,12,26,71,C
2024,12,27,68,C
2024,12,28,39,C
2024,12,29,58,C
2024,12,30,71,C
2024,12,31,54,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
