平均相對濕度(百分比) - 沙田
Mean Relative Humidity (%) - Sha Tin
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,74,C
2024,1,2,76,C
2024,1,3,66,C
2024,1,4,69,C
2024,1,5,79,C
2024,1,6,78,C
2024,1,7,73,C
2024,1,8,72,C
2024,1,9,77,C
2024,1,10,67,C
2024,1,11,68,C
2024,1,12,78,C
2024,1,13,62,C
2024,1,14,63,C
2024,1,15,76,C
2024,1,16,74,C
2024,1,17,73,C
2024,1,18,76,C
2024,1,19,83,C
2024,1,20,72,C
2024,1,21,67,C
2024,1,22,73,C
2024,1,23,75,C
2024,1,24,57,C
2024,1,25,51,C
2024,1,26,59,C
2024,1,27,64,C
2024,1,28,84,C
2024,1,29,82,C
2024,1,30,89,C
2024,1,31,94,C
2024,2,1,92,C
2024,2,2,90,C
2024,2,3,86,C
2024,2,4,93,C
2024,2,5,88,C
2024,2,6,88,C
2024,2,7,90,C
2024,2,8,86,C
2024,2,9,77,C
2024,2,10,70,C
2024,2,11,65,C
2024,2,12,54,C
2024,2,13,73,C
2024,2,14,81,C
2024,2,15,76,C
2024,2,16,82,C
2024,2,17,83,C
2024,2,18,86,C
2024,2,19,88,C
2024,2,20,84,C
2024,2,21,81,C
2024,2,22,87,C
2024,2,23,82,C
2024,2,24,75,C
2024,2,25,71,C
2024,2,26,75,C
2024,2,27,71,C
2024,2,28,87,C
2024,2,29,88,C
2024,3,1,74,C
2024,3,2,75,C
2024,3,3,84,C
2024,3,4,90,C
2024,3,5,86,C
2024,3,6,87,C
2024,3,7,75,C
2024,3,8,66,C
2024,3,9,73,C
2024,3,10,87,C
2024,3,11,92,C
2024,3,12,64,C
2024,3,13,65,C
2024,3,14,72,C
2024,3,15,82,C
2024,3,16,90,C
2024,3,17,87,C
2024,3,18,94,C
2024,3,19,72,C
2024,3,20,56,C
2024,3,21,66,C
2024,3,22,85,C
2024,3,23,84,C
2024,3,24,78,C
2024,3,25,82,C
2024,3,26,79,C
2024,3,27,85,C
2024,3,28,82,C
2024,3,29,81,C
2024,3,30,81,C
2024,3,31,89,C
2024,4,1,82,C
2024,4,2,77,C
2024,4,3,78,C
2024,4,4,81,C
2024,4,5,82,C
2024,4,6,92,C
2024,4,7,91,C
2024,4,8,91,C
2024,4,9,82,C
2024,4,10,70,C
2024,4,11,79,C
2024,4,12,80,C
2024,4,13,77,C
2024,4,14,77,C
2024,4,15,82,C
2024,4,16,81,C
2024,4,17,80,C
2024,4,18,84,C
2024,4,19,83,C
2024,4,20,84,C
2024,4,21,93,C
2024,4,22,93,C
2024,4,23,95,C
2024,4,24,90,C
2024,4,25,88,C
2024,4,26,92,C
2024,4,27,88,C
2024,4,28,92,C
2024,4,29,85,C
2024,4,30,82,C
2024,5,1,91,#
2024,5,2,91,#
2024,5,3,89,C
2024,5,4,96,C
2024,5,5,89,C
2024,5,6,84,C
2024,5,7,85,C
2024,5,8,79,C
2024,5,9,66,C
2024,5,10,74,C
2024,5,11,83,C
2024,5,12,90,C
2024,5,13,85,C
2024,5,14,68,C
2024,5,15,67,C
2024,5,16,63,C
2024,5,17,71,C
2024,5,18,75,C
2024,5,19,83,C
2024,5,20,94,C
2024,5,21,97,C
2024,5,22,91,C
2024,5,23,93,C
2024,5,24,94,C
2024,5,25,93,C
2024,5,26,88,C
2024,5,27,87,C
2024,5,28,84,C
2024,5,29,70,C
2024,5,30,90,C
2024,5,31,90,C
2024,6,1,91,C
2024,6,2,85,C
2024,6,3,92,C
2024,6,4,86,C
2024,6,5,91,C
2024,6,6,90,C
2024,6,7,93,C
2024,6,8,92,C
2024,6,9,95,C
2024,6,10,90,C
2024,6,11,92,C
2024,6,12,88,C
2024,6,13,87,C
2024,6,14,88,C
2024,6,15,92,C
2024,6,16,90,C
2024,6,17,82,C
2024,6,18,85,C
2024,6,19,83,C
2024,6,20,86,C
2024,6,21,78,C
2024,6,22,78,C
2024,6,23,81,C
2024,6,24,82,C
2024,6,25,84,C
2024,6,26,84,C
2024,6,27,81,C
2024,6,28,78,C
2024,6,29,86,C
2024,6,30,85,C
2024,7,1,80,C
2024,7,2,79,C
2024,7,3,78,C
2024,7,4,81,C
2024,7,5,80,C
2024,7,6,81,C
2024,7,7,78,C
2024,7,8,74,C
2024,7,9,73,C
2024,7,10,76,C
2024,7,11,81,C
2024,7,12,84,C
2024,7,13,79,C
2024,7,14,80,C
2024,7,15,84,C
2024,7,16,86,C
2024,7,17,82,C
2024,7,18,85,C
2024,7,19,90,C
2024,7,20,85,C
2024,7,21,81,C
2024,7,22,81,C
2024,7,23,79,C
2024,7,24,78,C
2024,7,25,78,C
2024,7,26,91,C
2024,7,27,93,C
2024,7,28,94,C
2024,7,29,90,C
2024,7,30,88,C
2024,7,31,92,C
2024,8,1,82,C
2024,8,2,82,C
2024,8,3,79,C
2024,8,4,77,C
2024,8,5,76,C
2024,8,6,79,C
2024,8,7,80,C
2024,8,8,79,C
2024,8,9,79,C
2024,8,10,83,C
2024,8,11,83,C
2024,8,12,86,C
2024,8,13,88,C
2024,8,14,89,C
2024,8,15,92,C
2024,8,16,87,C
2024,8,17,95,C
2024,8,18,92,C
2024,8,19,92,C
2024,8,20,92,C
2024,8,21,92,C
2024,8,22,86,C
2024,8,23,84,C
2024,8,24,79,C
2024,8,25,80,C
2024,8,26,81,C
2024,8,27,79,C
2024,8,28,82,C
2024,8,29,84,C
2024,8,30,83,C
2024,8,31,86,C
2024,9,1,83,C
2024,9,2,80,C
2024,9,3,78,C
2024,9,4,78,C
2024,9,5,76,C
2024,9,6,87,C
2024,9,7,87,C
2024,9,8,***,
2024,9,9,***,
2024,9,10,75,#
2024,9,11,80,C
2024,9,12,79,C
2024,9,13,78,C
2024,9,14,82,C
2024,9,15,77,C
2024,9,16,79,#
2024,9,17,78,C
2024,9,18,77,C
2024,9,19,75,C
2024,9,20,82,C
2024,9,21,92,C
2024,9,22,90,C
2024,9,23,92,C
2024,9,24,96,C
2024,9,25,98,#
2024,9,26,***,
2024,9,27,73,#
2024,9,28,82,C
2024,9,29,78,C
2024,9,30,73,C
2024,10,1,59,C
2024,10,2,57,C
2024,10,3,50,C
2024,10,4,51,C
2024,10,5,63,C
2024,10,6,72,C
2024,10,7,68,C
2024,10,8,63,C
2024,10,9,74,C
2024,10,10,71,C
2024,10,11,82,C
2024,10,12,72,C
2024,10,13,77,C
2024,10,14,79,C
2024,10,15,78,C
2024,10,16,77,C
2024,10,17,80,C
2024,10,18,82,C
2024,10,19,80,C
2024,10,20,80,C
2024,10,21,78,C
2024,10,22,66,C
2024,10,23,59,C
2024,10,24,42,C
2024,10,25,47,C
2024,10,26,68,C
2024,10,27,75,C
2024,10,28,70,C
2024,10,29,71,C
2024,10,30,65,C
2024,10,31,55,C
2024,11,1,59,C
2024,11,2,67,C
2024,11,3,76,C
2024,11,4,79,C
2024,11,5,69,C
2024,11,6,65,C
2024,11,7,60,C
2024,11,8,49,C
2024,11,9,65,C
2024,11,10,84,C
2024,11,11,83,C
2024,11,12,79,C
2024,11,13,87,C
2024,11,14,90,C
2024,11,15,97,C
2024,11,16,92,C
2024,11,17,90,C
2024,11,18,75,C
2024,11,19,86,C
2024,11,20,96,C
2024,11,21,86,C
2024,11,22,75,C
2024,11,23,73,C
2024,11,24,78,C
2024,11,25,81,C
2024,11,26,62,C
2024,11,27,45,C
2024,11,28,35,C
2024,11,29,40,C
2024,11,30,66,C
2024,12,1,79,C
2024,12,2,78,C
2024,12,3,81,C
2024,12,4,73,C
2024,12,5,80,C
2024,12,6,75,#
2024,12,7,***,
2024,12,8,***,
2024,12,9,74,#
2024,12,10,75,C
2024,12,11,70,C
2024,12,12,65,C
2024,12,13,61,C
2024,12,14,50,C
2024,12,15,38,C
2024,12,16,45,C
2024,12,17,68,#
2024,12,18,46,C
2024,12,19,40,C
2024,12,20,51,C
2024,12,21,53,C
2024,12,22,48,C
2024,12,23,52,C
2024,12,24,53,C
2024,12,25,71,C
2024,12,26,73,C
2024,12,27,72,C
2024,12,28,42,C
2024,12,29,58,C
2024,12,30,71,C
2024,12,31,54,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
