平均相對濕度(百分比) - 西貢
Mean Relative Humidity (%) - Sai Kung
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,77,C
2024,1,2,79,C
2024,1,3,64,C
2024,1,4,69,C
2024,1,5,79,C
2024,1,6,82,C
2024,1,7,75,C
2024,1,8,74,C
2024,1,9,82,C
2024,1,10,68,C
2024,1,11,69,C
2024,1,12,78,C
2024,1,13,62,C
2024,1,14,57,C
2024,1,15,78,C
2024,1,16,77,C
2024,1,17,75,C
2024,1,18,77,C
2024,1,19,81,C
2024,1,20,75,C
2024,1,21,67,C
2024,1,22,73,C
2024,1,23,74,C
2024,1,24,61,C
2024,1,25,54,C
2024,1,26,59,C
2024,1,27,65,C
2024,1,28,81,C
2024,1,29,81,C
2024,1,30,87,C
2024,1,31,94,C
2024,2,1,96,C
2024,2,2,93,C
2024,2,3,87,C
2024,2,4,95,C
2024,2,5,87,C
2024,2,6,87,C
2024,2,7,91,C
2024,2,8,85,C
2024,2,9,76,C
2024,2,10,69,C
2024,2,11,59,C
2024,2,12,53,C
2024,2,13,71,C
2024,2,14,83,C
2024,2,15,78,C
2024,2,16,81,C
2024,2,17,84,C
2024,2,18,89,C
2024,2,19,93,C
2024,2,20,93,C
2024,2,21,92,C
2024,2,22,92,C
2024,2,23,83,C
2024,2,24,75,C
2024,2,25,73,C
2024,2,26,76,C
2024,2,27,72,C
2024,2,28,87,C
2024,2,29,86,C
2024,3,1,74,C
2024,3,2,74,C
2024,3,3,82,C
2024,3,4,94,C
2024,3,5,95,C
2024,3,6,88,C
2024,3,7,74,C
2024,3,8,67,C
2024,3,9,75,C
2024,3,10,85,C
2024,3,11,89,C
2024,3,12,63,C
2024,3,13,65,C
2024,3,14,71,C
2024,3,15,82,C
2024,3,16,91,C
2024,3,17,90,C
2024,3,18,94,C
2024,3,19,69,C
2024,3,20,58,C
2024,3,21,67,C
2024,3,22,87,C
2024,3,23,90,C
2024,3,24,87,C
2024,3,25,84,C
2024,3,26,81,C
2024,3,27,85,C
2024,3,28,86,C
2024,3,29,86,C
2024,3,30,91,C
2024,3,31,88,C
2024,4,1,91,C
2024,4,2,89,C
2024,4,3,90,C
2024,4,4,90,C
2024,4,5,88,C
2024,4,6,92,C
2024,4,7,92,C
2024,4,8,90,C
2024,4,9,81,C
2024,4,10,71,C
2024,4,11,81,C
2024,4,12,84,C
2024,4,13,84,C
2024,4,14,90,C
2024,4,15,87,C
2024,4,16,79,C
2024,4,17,81,C
2024,4,18,85,C
2024,4,19,89,C
2024,4,20,86,C
2024,4,21,91,C
2024,4,22,92,C
2024,4,23,94,C
2024,4,24,92,C
2024,4,25,87,C
2024,4,26,91,C
2024,4,27,89,C
2024,4,28,91,C
2024,4,29,91,C
2024,4,30,82,C
2024,5,1,92,C
2024,5,2,90,C
2024,5,3,86,C
2024,5,4,95,C
2024,5,5,87,C
2024,5,6,87,C
2024,5,7,84,C
2024,5,8,79,C
2024,5,9,69,C
2024,5,10,75,C
2024,5,11,81,C
2024,5,12,89,C
2024,5,13,81,C
2024,5,14,66,C
2024,5,15,65,C
2024,5,16,63,C
2024,5,17,71,C
2024,5,18,74,C
2024,5,19,83,C
2024,5,20,91,C
2024,5,21,95,C
2024,5,22,91,C
2024,5,23,93,C
2024,5,24,94,C
2024,5,25,94,C
2024,5,26,91,C
2024,5,27,85,C
2024,5,28,86,C
2024,5,29,71,C
2024,5,30,87,C
2024,5,31,91,C
2024,6,1,89,C
2024,6,2,80,C
2024,6,3,92,C
2024,6,4,84,C
2024,6,5,91,C
2024,6,6,91,C
2024,6,7,93,C
2024,6,8,93,C
2024,6,9,93,C
2024,6,10,92,C
2024,6,11,89,C
2024,6,12,84,C
2024,6,13,85,C
2024,6,14,88,C
2024,6,15,88,C
2024,6,16,90,C
2024,6,17,82,C
2024,6,18,86,C
2024,6,19,85,C
2024,6,20,87,C
2024,6,21,83,C
2024,6,22,83,C
2024,6,23,84,C
2024,6,24,83,C
2024,6,25,84,C
2024,6,26,83,C
2024,6,27,82,C
2024,6,28,82,C
2024,6,29,83,C
2024,6,30,82,C
2024,7,1,81,C
2024,7,2,80,C
2024,7,3,80,C
2024,7,4,79,C
2024,7,5,78,C
2024,7,6,78,C
2024,7,7,79,C
2024,7,8,74,C
2024,7,9,74,C
2024,7,10,75,C
2024,7,11,75,C
2024,7,12,80,C
2024,7,13,80,C
2024,7,14,81,C
2024,7,15,82,C
2024,7,16,85,C
2024,7,17,81,C
2024,7,18,84,C
2024,7,19,86,C
2024,7,20,84,C
2024,7,21,81,C
2024,7,22,80,C
2024,7,23,74,C
2024,7,24,72,C
2024,7,25,72,C
2024,7,26,86,C
2024,7,27,91,C
2024,7,28,93,C
2024,7,29,88,C
2024,7,30,86,C
2024,7,31,90,C
2024,8,1,81,C
2024,8,2,82,C
2024,8,3,75,C
2024,8,4,74,C
2024,8,5,78,C
2024,8,6,75,C
2024,8,7,78,C
2024,8,8,73,C
2024,8,9,70,C
2024,8,10,73,C
2024,8,11,78,C
2024,8,12,85,C
2024,8,13,85,C
2024,8,14,85,C
2024,8,15,87,C
2024,8,16,83,C
2024,8,17,94,C
2024,8,18,87,C
2024,8,19,88,C
2024,8,20,87,C
2024,8,21,89,C
2024,8,22,88,C
2024,8,23,86,C
2024,8,24,84,C
2024,8,25,79,C
2024,8,26,83,C
2024,8,27,76,C
2024,8,28,79,C
2024,8,29,82,C
2024,8,30,83,C
2024,8,31,83,C
2024,9,1,83,C
2024,9,2,81,C
2024,9,3,79,C
2024,9,4,76,C
2024,9,5,74,C
2024,9,6,89,C
2024,9,7,88,C
2024,9,8,89,C
2024,9,9,84,C
2024,9,10,77,C
2024,9,11,80,C
2024,9,12,75,C
2024,9,13,75,C
2024,9,14,75,C
2024,9,15,74,C
2024,9,16,80,C
2024,9,17,76,C
2024,9,18,74,C
2024,9,19,76,C
2024,9,20,81,C
2024,9,21,90,C
2024,9,22,86,C
2024,9,23,89,C
2024,9,24,93,C
2024,9,25,87,C
2024,9,26,79,C
2024,9,27,76,C
2024,9,28,78,C
2024,9,29,76,C
2024,9,30,65,C
2024,10,1,56,C
2024,10,2,55,C
2024,10,3,49,C
2024,10,4,51,C
2024,10,5,64,C
2024,10,6,72,C
2024,10,7,72,C
2024,10,8,63,C
2024,10,9,73,C
2024,10,10,69,C
2024,10,11,79,C
2024,10,12,68,C
2024,10,13,76,C
2024,10,14,79,C
2024,10,15,78,C
2024,10,16,77,C
2024,10,17,80,C
2024,10,18,82,C
2024,10,19,80,C
2024,10,20,79,C
2024,10,21,78,C
2024,10,22,66,C
2024,10,23,59,C
2024,10,24,42,C
2024,10,25,48,C
2024,10,26,67,C
2024,10,27,74,C
2024,10,28,69,C
2024,10,29,71,C
2024,10,30,65,C
2024,10,31,52,C
2024,11,1,59,C
2024,11,2,67,C
2024,11,3,76,C
2024,11,4,79,C
2024,11,5,68,C
2024,11,6,65,C
2024,11,7,58,C
2024,11,8,48,C
2024,11,9,66,C
2024,11,10,79,C
2024,11,11,79,C
2024,11,12,78,C
2024,11,13,82,C
2024,11,14,89,C
2024,11,15,95,C
2024,11,16,90,C
2024,11,17,89,C
2024,11,18,74,C
2024,11,19,84,C
2024,11,20,91,C
2024,11,21,82,C
2024,11,22,73,C
2024,11,23,71,C
2024,11,24,75,C
2024,11,25,79,C
2024,11,26,62,C
2024,11,27,44,C
2024,11,28,35,C
2024,11,29,35,C
2024,11,30,57,C
2024,12,1,74,C
2024,12,2,73,C
2024,12,3,79,C
2024,12,4,75,C
2024,12,5,80,C
2024,12,6,71,C
2024,12,7,67,C
2024,12,8,66,C
2024,12,9,70,C
2024,12,10,75,C
2024,12,11,76,C
2024,12,12,66,C
2024,12,13,61,C
2024,12,14,50,C
2024,12,15,39,C
2024,12,16,42,C
2024,12,17,60,C
2024,12,18,44,C
2024,12,19,40,C
2024,12,20,45,C
2024,12,21,40,C
2024,12,22,48,C
2024,12,23,53,C
2024,12,24,53,C
2024,12,25,72,C
2024,12,26,73,C
2024,12,27,77,C
2024,12,28,41,C
2024,12,29,60,C
2024,12,30,70,C
2024,12,31,51,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
