平均相對濕度(百分比) - 上水
Mean Relative Humidity (%) - Sheung Shui
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,71,C
2024,1,2,73,C
2024,1,3,65,#
2024,1,4,65,C
2024,1,5,77,C
2024,1,6,78,C
2024,1,7,74,C
2024,1,8,69,C
2024,1,9,75,C
2024,1,10,65,C
2024,1,11,62,C
2024,1,12,75,C
2024,1,13,59,C
2024,1,14,60,C
2024,1,15,71,C
2024,1,16,70,C
2024,1,17,73,C
2024,1,18,73,C
2024,1,19,79,C
2024,1,20,74,C
2024,1,21,63,C
2024,1,22,68,C
2024,1,23,72,C
2024,1,24,52,C
2024,1,25,47,C
2024,1,26,54,C
2024,1,27,61,C
2024,1,28,81,C
2024,1,29,80,C
2024,1,30,89,C
2024,1,31,93,C
2024,2,1,90,C
2024,2,2,86,C
2024,2,3,83,C
2024,2,4,93,C
2024,2,5,85,C
2024,2,6,85,C
2024,2,7,90,C
2024,2,8,83,C
2024,2,9,73,C
2024,2,10,63,C
2024,2,11,62,C
2024,2,12,49,C
2024,2,13,72,C
2024,2,14,79,C
2024,2,15,76,C
2024,2,16,79,C
2024,2,17,80,C
2024,2,18,84,C
2024,2,19,87,C
2024,2,20,84,C
2024,2,21,79,C
2024,2,22,85,C
2024,2,23,75,C
2024,2,24,69,C
2024,2,25,68,C
2024,2,26,68,C
2024,2,27,64,C
2024,2,28,85,C
2024,2,29,87,C
2024,3,1,69,C
2024,3,2,72,C
2024,3,3,81,C
2024,3,4,89,C
2024,3,5,86,C
2024,3,6,84,C
2024,3,7,71,C
2024,3,8,61,C
2024,3,9,75,C
2024,3,10,92,C
2024,3,11,96,C
2024,3,12,65,C
2024,3,13,63,C
2024,3,14,69,C
2024,3,15,81,C
2024,3,16,89,C
2024,3,17,85,C
2024,3,18,92,C
2024,3,19,69,C
2024,3,20,49,C
2024,3,21,58,C
2024,3,22,80,C
2024,3,23,80,C
2024,3,24,75,C
2024,3,25,79,C
2024,3,26,77,C
2024,3,27,79,C
2024,3,28,81,C
2024,3,29,77,C
2024,3,30,76,C
2024,3,31,83,C
2024,4,1,78,C
2024,4,2,74,C
2024,4,3,78,C
2024,4,4,77,C
2024,4,5,79,C
2024,4,6,93,C
2024,4,7,92,C
2024,4,8,92,C
2024,4,9,81,C
2024,4,10,66,C
2024,4,11,74,C
2024,4,12,79,C
2024,4,13,78,C
2024,4,14,77,C
2024,4,15,79,C
2024,4,16,77,C
2024,4,17,76,C
2024,4,18,88,C
2024,4,19,82,C
2024,4,20,84,C
2024,4,21,96,C
2024,4,22,96,C
2024,4,23,98,C
2024,4,24,91,C
2024,4,25,89,C
2024,4,26,98,C
2024,4,27,90,C
2024,4,28,92,C
2024,4,29,85,C
2024,4,30,82,C
2024,5,1,98,C
2024,5,2,91,C
2024,5,3,86,C
2024,5,4,97,C
2024,5,5,89,C
2024,5,6,80,C
2024,5,7,82,C
2024,5,8,77,C
2024,5,9,59,C
2024,5,10,70,C
2024,5,11,80,C
2024,5,12,89,C
2024,5,13,83,C
2024,5,14,63,C
2024,5,15,61,C
2024,5,16,56,C
2024,5,17,67,C
2024,5,18,70,C
2024,5,19,79,C
2024,5,20,94,C
2024,5,21,99,C
2024,5,22,93,C
2024,5,23,94,C
2024,5,24,97,C
2024,5,25,95,C
2024,5,26,89,C
2024,5,27,89,C
2024,5,28,83,C
2024,5,29,61,C
2024,5,30,87,C
2024,5,31,96,C
2024,6,1,92,C
2024,6,2,85,C
2024,6,3,93,C
2024,6,4,83,C
2024,6,5,88,C
2024,6,6,91,C
2024,6,7,93,C
2024,6,8,91,C
2024,6,9,97,C
2024,6,10,85,C
2024,6,11,85,C
2024,6,12,87,C
2024,6,13,83,C
2024,6,14,93,C
2024,6,15,95,C
2024,6,16,92,C
2024,6,17,82,C
2024,6,18,82,C
2024,6,19,79,C
2024,6,20,82,C
2024,6,21,74,C
2024,6,22,76,C
2024,6,23,78,C
2024,6,24,78,C
2024,6,25,81,C
2024,6,26,79,C
2024,6,27,77,C
2024,6,28,73,C
2024,6,29,82,C
2024,6,30,81,C
2024,7,1,77,C
2024,7,2,84,C
2024,7,3,75,C
2024,7,4,81,C
2024,7,5,77,C
2024,7,6,78,C
2024,7,7,77,C
2024,7,8,74,C
2024,7,9,72,C
2024,7,10,72,C
2024,7,11,77,C
2024,7,12,80,C
2024,7,13,76,C
2024,7,14,79,C
2024,7,15,85,C
2024,7,16,87,C
2024,7,17,82,C
2024,7,18,93,C
2024,7,19,96,C
2024,7,20,89,C
2024,7,21,82,C
2024,7,22,76,C
2024,7,23,75,C
2024,7,24,77,C
2024,7,25,74,C
2024,7,26,91,C
2024,7,27,95,C
2024,7,28,98,C
2024,7,29,97,C
2024,7,30,90,C
2024,7,31,96,C
2024,8,1,84,C
2024,8,2,80,C
2024,8,3,76,C
2024,8,4,74,C
2024,8,5,73,C
2024,8,6,78,C
2024,8,7,77,C
2024,8,8,73,C
2024,8,9,71,C
2024,8,10,77,C
2024,8,11,81,C
2024,8,12,85,C
2024,8,13,81,C
2024,8,14,95,C
2024,8,15,97,C
2024,8,16,85,C
2024,8,17,95,C
2024,8,18,93,C
2024,8,19,94,C
2024,8,20,90,C
2024,8,21,95,C
2024,8,22,88,C
2024,8,23,83,C
2024,8,24,75,C
2024,8,25,74,C
2024,8,26,78,C
2024,8,27,74,C
2024,8,28,82,C
2024,8,29,84,C
2024,8,30,78,C
2024,8,31,85,C
2024,9,1,80,C
2024,9,2,83,C
2024,9,3,76,C
2024,9,4,82,C
2024,9,5,80,C
2024,9,6,95,C
2024,9,7,92,C
2024,9,8,95,C
2024,9,9,81,C
2024,9,10,74,C
2024,9,11,75,C
2024,9,12,80,C
2024,9,13,78,C
2024,9,14,88,C
2024,9,15,75,C
2024,9,16,75,C
2024,9,17,77,C
2024,9,18,74,C
2024,9,19,70,C
2024,9,20,79,C
2024,9,21,96,C
2024,9,22,91,C
2024,9,23,93,C
2024,9,24,97,C
2024,9,25,88,C
2024,9,26,81,C
2024,9,27,78,C
2024,9,28,89,C
2024,9,29,84,C
2024,9,30,74,C
2024,10,1,67,C
2024,10,2,53,C
2024,10,3,46,#
2024,10,4,47,#
2024,10,5,57,C
2024,10,6,67,C
2024,10,7,62,C
2024,10,8,58,C
2024,10,9,67,C
2024,10,10,64,C
2024,10,11,71,C
2024,10,12,70,C
2024,10,13,71,C
2024,10,14,71,C
2024,10,15,75,C
2024,10,16,73,C
2024,10,17,74,C
2024,10,18,76,C
2024,10,19,74,C
2024,10,20,76,C
2024,10,21,71,C
2024,10,22,64,C
2024,10,23,56,C
2024,10,24,40,C
2024,10,25,43,C
2024,10,26,62,C
2024,10,27,70,C
2024,10,28,67,C
2024,10,29,66,C
2024,10,30,64,C
2024,10,31,58,C
2024,11,1,59,C
2024,11,2,64,C
2024,11,3,74,C
2024,11,4,76,C
2024,11,5,60,C
2024,11,6,59,C
2024,11,7,49,C
2024,11,8,43,C
2024,11,9,58,C
2024,11,10,76,C
2024,11,11,76,C
2024,11,12,76,C
2024,11,13,89,C
2024,11,14,96,C
2024,11,15,99,C
2024,11,16,92,C
2024,11,17,94,C
2024,11,18,74,C
2024,11,19,89,C
2024,11,20,97,C
2024,11,21,85,C
2024,11,22,71,C
2024,11,23,73,C
2024,11,24,83,C
2024,11,25,88,C
2024,11,26,62,C
2024,11,27,41,C
2024,11,28,34,C
2024,11,29,36,C
