平均相對濕度(百分比) - 大老山
Mean Relative Humidity (%) - Tate's Cairn
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,95,C
2024,1,2,91,C
2024,1,3,75,C
2024,1,4,80,C
2024,1,5,83,C
2024,1,6,71,C
2024,1,7,87,C
2024,1,8,92,C
2024,1,9,85,C
2024,1,10,78,C
2024,1,11,84,C
2024,1,12,88,C
2024,1,13,59,C
2024,1,14,59,C
2024,1,15,79,C
2024,1,16,96,C
2024,1,17,85,C
2024,1,18,87,C
2024,1,19,84,C
2024,1,20,83,C
2024,1,21,83,C
2024,1,22,92,C
2024,1,23,93,C
2024,1,24,74,C
2024,1,25,66,C
2024,1,26,73,C
2024,1,27,80,C
2024,1,28,98,C
2024,1,29,98,C
2024,1,30,100,C
2024,1,31,100,C
2024,2,1,99,C
2024,2,2,98,C
2024,2,3,100,C
2024,2,4,100,C
2024,2,5,100,C
2024,2,6,100,C
2024,2,7,100,C
2024,2,8,100,C
2024,2,9,98,C
2024,2,10,81,C
2024,2,11,48,C
2024,2,12,57,C
2024,2,13,85,C
2024,2,14,92,C
2024,2,15,80,C
2024,2,16,95,C
2024,2,17,100,C
2024,2,18,98,C
2024,2,19,99,C
2024,2,20,97,C
2024,2,21,93,C
2024,2,22,99,C
2024,2,23,100,C
2024,2,24,94,C
2024,2,25,88,C
2024,2,26,97,C
2024,2,27,92,C
2024,2,28,100,C
2024,2,29,100,C
2024,3,1,93,C
2024,3,2,95,C
2024,3,3,99,C
2024,3,4,100,C
2024,3,5,100,C
2024,3,6,98,C
2024,3,7,92,C
2024,3,8,82,C
2024,3,9,93,C
2024,3,10,100,C
2024,3,11,100,C
2024,3,12,69,C
2024,3,13,78,C
2024,3,14,90,C
2024,3,15,99,C
2024,3,16,100,C
2024,3,17,96,C
2024,3,18,98,C
2024,3,19,82,C
2024,3,20,64,C
2024,3,21,79,C
2024,3,22,98,C
2024,3,23,98,C
2024,3,24,90,C
2024,3,25,91,C
2024,3,26,88,C
2024,3,27,100,C
2024,3,28,92,C
2024,3,29,90,C
2024,3,30,94,C
2024,3,31,100,C
2024,4,1,98,C
2024,4,2,94,C
2024,4,3,96,C
2024,4,4,98,C
2024,4,5,99,C
2024,4,6,100,C
2024,4,7,100,C
2024,4,8,98,C
2024,4,9,98,C
2024,4,10,86,C
2024,4,11,91,C
2024,4,12,82,C
2024,4,13,81,C
2024,4,14,91,C
2024,4,15,93,C
2024,4,16,91,C
2024,4,17,94,C
2024,4,18,95,C
2024,4,19,99,C
2024,4,20,96,C
2024,4,21,99,C
2024,4,22,98,C
2024,4,23,100,C
2024,4,24,99,C
2024,4,25,98,C
2024,4,26,100,C
2024,4,27,100,C
2024,4,28,100,C
2024,4,29,99,C
2024,4,30,97,C
2024,5,1,99,C
2024,5,2,100,C
2024,5,3,99,C
2024,5,4,99,C
2024,5,5,94,C
2024,5,6,87,C
2024,5,7,89,C
2024,5,8,90,C
2024,5,9,83,C
2024,5,10,90,C
2024,5,11,97,C
2024,5,12,96,C
2024,5,13,94,C
2024,5,14,79,C
2024,5,15,66,C
2024,5,16,70,C
2024,5,17,81,C
2024,5,18,88,C
2024,5,19,97,C
2024,5,20,100,C
2024,5,21,100,C
2024,5,22,100,C
2024,5,23,100,C
2024,5,24,100,C
2024,5,25,100,C
2024,5,26,99,C
2024,5,27,100,C
2024,5,28,95,C
2024,5,29,86,C
2024,5,30,100,C
2024,5,31,100,C
2024,6,1,100,C
2024,6,2,93,C
2024,6,3,99,C
2024,6,4,99,#
2024,6,5,99,C
2024,6,6,99,C
2024,6,7,100,C
2024,6,8,100,C
2024,6,9,100,C
2024,6,10,99,C
2024,6,11,100,C
2024,6,12,97,C
2024,6,13,99,C
2024,6,14,100,C
2024,6,15,97,C
2024,6,16,98,C
2024,6,17,98,C
2024,6,18,97,C
2024,6,19,93,C
2024,6,20,95,C
2024,6,21,90,C
2024,6,22,91,C
2024,6,23,91,C
2024,6,24,94,C
2024,6,25,95,C
2024,6,26,97,C
2024,6,27,97,C
2024,6,28,90,C
2024,6,29,98,C
2024,6,30,99,C
2024,7,1,97,C
2024,7,2,98,C
2024,7,3,95,C
2024,7,4,91,C
2024,7,5,91,C
2024,7,6,92,C
2024,7,7,90,C
2024,7,8,86,C
2024,7,9,87,C
2024,7,10,87,C
2024,7,11,92,C
2024,7,12,93,C
2024,7,13,91,C
2024,7,14,96,C
2024,7,15,99,C
2024,7,16,100,C
2024,7,17,95,C
2024,7,18,98,C
2024,7,19,100,C
2024,7,20,100,C
2024,7,21,99,C
2024,7,22,98,C
2024,7,23,88,C
2024,7,24,90,C
2024,7,25,92,C
2024,7,26,100,C
2024,7,27,100,C
2024,7,28,100,C
2024,7,29,100,C
2024,7,30,100,C
2024,7,31,100,C
2024,8,1,96,C
2024,8,2,96,C
2024,8,3,90,C
2024,8,4,82,C
2024,8,5,85,C
2024,8,6,80,C
2024,8,7,89,C
2024,8,8,91,C
2024,8,9,90,C
2024,8,10,96,C
2024,8,11,95,C
2024,8,12,95,C
2024,8,13,92,C
2024,8,14,95,C
2024,8,15,98,C
2024,8,16,94,C
2024,8,17,100,C
2024,8,18,100,C
2024,8,19,100,C
2024,8,20,100,C
2024,8,21,100,C
2024,8,22,94,C
2024,8,23,92,C
2024,8,24,89,C
2024,8,25,85,C
2024,8,26,90,C
2024,8,27,86,C
2024,8,28,82,C
2024,8,29,89,C
2024,8,30,98,C
2024,8,31,99,C
2024,9,1,92,C
2024,9,2,87,C
2024,9,3,87,C
2024,9,4,84,C
2024,9,5,87,C
2024,9,6,100,C
2024,9,7,100,C
2024,9,8,100,C
2024,9,9,97,C
2024,9,10,89,C
2024,9,11,82,C
2024,9,12,78,C
2024,9,13,84,C
2024,9,14,86,C
2024,9,15,85,C
2024,9,16,93,C
2024,9,17,87,C
2024,9,18,86,C
2024,9,19,92,C
2024,9,20,93,C
2024,9,21,100,C
2024,9,22,99,C
2024,9,23,100,C
2024,9,24,100,C
2024,9,25,96,C
2024,9,26,90,C
2024,9,27,90,C
2024,9,28,93,C
2024,9,29,88,C
2024,9,30,77,C
2024,10,1,70,C
2024,10,2,67,C
2024,10,3,58,C
2024,10,4,60,C
2024,10,5,74,C
2024,10,6,80,C
2024,10,7,77,C
2024,10,8,75,C
2024,10,9,87,C
2024,10,10,82,C
2024,10,11,92,C
2024,10,12,83,C
2024,10,13,92,C
2024,10,14,96,C
2024,10,15,95,C
2024,10,16,95,C
2024,10,17,99,C
2024,10,18,97,C
2024,10,19,86,C
2024,10,20,97,C
2024,10,21,94,C
2024,10,22,78,C
2024,10,23,72,C
2024,10,24,49,C
2024,10,25,56,C
2024,10,26,83,C
2024,10,27,92,C
2024,10,28,86,C
2024,10,29,87,C
2024,10,30,78,C
2024,10,31,65,C
2024,11,1,70,C
2024,11,2,82,C
2024,11,3,93,C
2024,11,4,94,C
2024,11,5,81,C
2024,11,6,79,C
2024,11,7,67,C
2024,11,8,54,C
2024,11,9,81,C
2024,11,10,96,C
2024,11,11,96,C
2024,11,12,85,C
2024,11,13,98,C
2024,11,14,100,C
2024,11,15,99,C
2024,11,16,96,C
2024,11,17,100,C
2024,11,18,91,C
2024,11,19,99,C
2024,11,20,100,C
2024,11,21,100,C
2024,11,22,92,C
2024,11,23,87,C
2024,11,24,88,C
2024,11,25,97,C
2024,11,26,73,C
2024,11,27,50,C
2024,11,28,35,C
2024,11,29,32,C
2024,11,30,55,C
2024,12,1,73,#
2024,12,2,***,
2024,12,3,90,#
2024,12,4,92,C
2024,12,5,93,C
2024,12,6,85,C
2024,12,7,83,C
2024,12,8,83,C
2024,12,9,86,C
2024,12,10,90,C
2024,12,11,81,C
2024,12,12,80,C
2024,12,13,74,C
2024,12,14,60,C
2024,12,15,46,C
2024,12,16,43,C
2024,12,17,58,C
2024,12,18,47,C
2024,12,19,44,C
2024,12,20,45,C
2024,12,21,44,C
2024,12,22,53,C
2024,12,23,66,C
2024,12,24,65,C
2024,12,25,87,C
