平均相對濕度(百分比) - 打鼓嶺
Mean Relative Humidity (%) - Ta Kwu Ling
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,74,C
2024,1,2,73,C
2024,1,3,66,C
2024,1,4,72,C
2024,1,5,77,C
2024,1,6,78,C
2024,1,7,75,C
2024,1,8,71,C
2024,1,9,77,C
2024,1,10,71,C
2024,1,11,69,C
2024,1,12,77,C
2024,1,13,63,C
2024,1,14,62,C
2024,1,15,74,C
2024,1,16,72,C
2024,1,17,76,C
2024,1,18,75,C
2024,1,19,80,C
2024,1,20,73,C
2024,1,21,64,C
2024,1,22,69,C
2024,1,23,72,C
2024,1,24,54,C
2024,1,25,51,C
2024,1,26,56,C
2024,1,27,63,C
2024,1,28,84,C
2024,1,29,79,C
2024,1,30,87,C
2024,1,31,91,C
2024,2,1,90,C
2024,2,2,87,C
2024,2,3,85,C
2024,2,4,92,C
2024,2,5,85,C
2024,2,6,85,C
2024,2,7,91,C
2024,2,8,85,C
2024,2,9,75,C
2024,2,10,66,C
2024,2,11,64,C
2024,2,12,51,C
2024,2,13,72,C
2024,2,14,80,C
2024,2,15,76,C
2024,2,16,78,C
2024,2,17,79,C
2024,2,18,82,C
2024,2,19,88,C
2024,2,20,83,C
2024,2,21,82,C
2024,2,22,86,C
2024,2,23,75,C
2024,2,24,71,C
2024,2,25,71,C
2024,2,26,69,C
2024,2,27,66,C
2024,2,28,85,C
2024,2,29,87,C
2024,3,1,70,C
2024,3,2,73,C
2024,3,3,81,C
2024,3,4,89,C
2024,3,5,85,C
2024,3,6,83,C
2024,3,7,73,C
2024,3,8,65,C
2024,3,9,78,C
2024,3,10,91,C
2024,3,11,93,C
2024,3,12,69,C
2024,3,13,62,C
2024,3,14,69,C
2024,3,15,80,C
2024,3,16,88,C
2024,3,17,85,C
2024,3,18,92,C
2024,3,19,69,C
2024,3,20,63,C
2024,3,21,62,C
2024,3,22,83,C
2024,3,23,83,C
2024,3,24,77,C
