平均相對濕度(百分比) - 大帽山
Mean Relative Humidity (%) - Tai Mo Shan
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,86,C
2024,1,2,92,C
2024,1,3,85,C
2024,1,4,88,C
2024,1,5,85,C
2024,1,6,73,C
2024,1,7,83,C
2024,1,8,92,C
2024,1,9,94,C
2024,1,10,86,C
2024,1,11,84,C
2024,1,12,79,C
2024,1,13,52,C
2024,1,14,77,C
2024,1,15,75,C
2024,1,16,91,C
2024,1,17,90,C
2024,1,18,91,C
2024,1,19,87,C
2024,1,20,91,C
2024,1,21,92,C
2024,1,22,100,#
2024,1,23,***,
2024,1,24,***,
2024,1,25,***,
2024,1,26,79,#
2024,1,27,89,C
2024,1,28,100,C
2024,1,29,100,#
2024,1,30,100,C
2024,1,31,100,C
2024,2,1,99,C
2024,2,2,98,C
2024,2,3,100,C
2024,2,4,100,C
2024,2,5,100,C
2024,2,6,98,C
2024,2,7,100,C
2024,2,8,100,C
2024,2,9,99,C
2024,2,10,68,C
2024,2,11,31,C
2024,2,12,45,C
2024,2,13,94,C
2024,2,14,94,C
2024,2,15,85,C
2024,2,16,96,C
2024,2,17,97,C
2024,2,18,98,C
2024,2,19,100,C
2024,2,20,100,C
2024,2,21,99,C
2024,2,22,99,C
2024,2,23,100,C
2024,2,24,100,C
2024,2,25,96,C
2024,2,26,96,C
2024,2,27,95,C
2024,2,28,100,C
2024,2,29,100,C
2024,3,1,100,C
2024,3,2,100,C
2024,3,3,100,C
2024,3,4,100,C
2024,3,5,100,C
2024,3,6,100,C
2024,3,7,100,C
2024,3,8,81,C
2024,3,9,99,C
2024,3,10,100,C
2024,3,11,99,C
2024,3,12,46,C
2024,3,13,84,C
2024,3,14,100,C
2024,3,15,100,C
2024,3,16,100,C
2024,3,17,91,C
2024,3,18,97,C
2024,3,19,85,C
2024,3,20,67,C
2024,3,21,74,C
2024,3,22,98,C
2024,3,23,100,C
2024,3,24,94,C
2024,3,25,89,C
2024,3,26,91,C
2024,3,27,100,C
2024,3,28,99,C
2024,3,29,93,C
2024,3,30,98,C
2024,3,31,100,C
2024,4,1,100,C
2024,4,2,100,C
2024,4,3,100,C
2024,4,4,100,C
2024,4,5,100,C
2024,4,6,100,C
2024,4,7,100,C
2024,4,8,100,C
2024,4,9,100,C
2024,4,10,87,C
2024,4,11,91,C
2024,4,12,89,C
2024,4,13,84,C
2024,4,14,97,C
2024,4,15,97,C
2024,4,16,93,C
2024,4,17,100,C
2024,4,18,97,C
2024,4,19,100,C
2024,4,20,100,C
2024,4,21,99,C
2024,4,22,98,C
2024,4,23,100,C
2024,4,24,100,C
2024,4,25,100,C
2024,4,26,100,C
2024,4,27,100,C
2024,4,28,100,C
2024,4,29,100,C
2024,4,30,100,C
2024,5,1,99,C
2024,5,2,100,C
2024,5,3,100,C
2024,5,4,100,C
2024,5,5,100,C
2024,5,6,96,C
2024,5,7,91,C
2024,5,8,90,C
2024,5,9,84,C
2024,5,10,100,C
2024,5,11,97,C
2024,5,12,95,C
2024,5,13,97,C
2024,5,14,87,C
2024,5,15,66,C
2024,5,16,57,C
2024,5,17,91,C
2024,5,18,85,C
2024,5,19,95,C
2024,5,20,100,C
2024,5,21,100,C
2024,5,22,100,C
2024,5,23,100,C
2024,5,24,100,C
2024,5,25,100,C
2024,5,26,99,C
2024,5,27,100,C
2024,5,28,97,C
2024,5,29,94,C
2024,5,30,100,C
2024,5,31,100,C
2024,6,1,100,C
2024,6,2,97,C
2024,6,3,100,C
2024,6,4,100,C
2024,6,5,100,C
2024,6,6,100,C
2024,6,7,100,C
2024,6,8,100,C
2024,6,9,100,C
2024,6,10,100,C
2024,6,11,100,C
2024,6,12,100,C
2024,6,13,100,C
2024,6,14,100,C
2024,6,15,98,C
2024,6,16,100,C
2024,6,17,100,C
2024,6,18,100,C
2024,6,19,100,C
2024,6,20,99,C
2024,6,21,95,C
2024,6,22,98,C
2024,6,23,98,C
2024,6,24,99,C
2024,6,25,99,C
2024,6,26,98,C
2024,6,27,98,C
2024,6,28,97,C
2024,6,29,100,C
2024,6,30,100,C
2024,7,1,100,C
2024,7,2,100,C
2024,7,3,97,C
2024,7,4,98,C
2024,7,5,95,C
2024,7,6,98,C
2024,7,7,98,C
2024,7,8,96,#
2024,7,9,96,#
2024,7,10,94,C
2024,7,11,99,C
2024,7,12,99,C
2024,7,13,98,C
