平均相對濕度(百分比) - 屯門兒童及青少年院
Mean Relative Humidity (%) - Tuen Mun Children and Juvenile Home
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,63,C
2024,1,2,66,C
2024,1,3,56,C
2024,1,4,57,C
2024,1,5,67,C
2024,1,6,67,C
2024,1,7,64,C
2024,1,8,62,C
2024,1,9,68,C
2024,1,10,56,C
2024,1,11,55,C
2024,1,12,64,C
2024,1,13,47,C
2024,1,14,51,C
2024,1,15,57,C
2024,1,16,62,C
2024,1,17,67,C
2024,1,18,64,C
2024,1,19,68,C
2024,1,20,68,C
2024,1,21,55,C
2024,1,22,60,C
2024,1,23,69,C
2024,1,24,47,C
2024,1,25,43,C
2024,1,26,48,C
2024,1,27,56,C
2024,1,28,73,C
2024,1,29,72,C
2024,1,30,82,C
2024,1,31,87,C
2024,2,1,84,C
2024,2,2,77,C
2024,2,3,75,C
2024,2,4,82,C
2024,2,5,81,C
2024,2,6,74,C
2024,2,7,83,C
2024,2,8,79,C
2024,2,9,72,C
2024,2,10,59,C
2024,2,11,45,C
2024,2,12,41,C
2024,2,13,64,C
2024,2,14,70,C
2024,2,15,61,C
2024,2,16,69,C
2024,2,17,72,C
2024,2,18,75,C
2024,2,19,84,C
2024,2,20,83,C
2024,2,21,79,C
2024,2,22,79,C
2024,2,23,74,C
2024,2,24,62,C
2024,2,25,62,C
2024,2,26,62,C
2024,2,27,59,C
2024,2,28,76,C
2024,2,29,82,C
2024,3,1,69,C
2024,3,2,66,C
2024,3,3,72,C
2024,3,4,82,C
2024,3,5,83,C
2024,3,6,76,C
2024,3,7,62,C
2024,3,8,52,C
2024,3,9,64,C
2024,3,10,79,C
2024,3,11,88,C
2024,3,12,53,C
2024,3,13,54,C
2024,3,14,66,C
2024,3,15,72,C
2024,3,16,79,C
2024,3,17,77,C
2024,3,18,83,C
2024,3,19,63,C
2024,3,20,45,C
2024,3,21,54,C
2024,3,22,70,C
2024,3,23,78,C
2024,3,24,73,C
2024,3,25,74,C
2024,3,26,71,C
2024,3,27,70,C
2024,3,28,72,C
2024,3,29,73,C
2024,3,30,74,C
2024,3,31,77,C
2024,4,1,75,C
2024,4,2,72,C
2024,4,3,75,C
2024,4,4,75,C
2024,4,5,74,C
2024,4,6,83,C
2024,4,7,84,C
2024,4,8,81,C
2024,4,9,69,#
2024,4,10,55,#
2024,4,11,68,C
2024,4,12,70,C
2024,4,13,70,C
2024,4,14,74,C
2024,4,15,74,C
2024,4,16,70,C
2024,4,17,70,C
2024,4,18,74,C
2024,4,19,77,C
2024,4,20,76,C
2024,4,21,85,C
2024,4,22,88,C
2024,4,23,89,C
2024,4,24,84,#
2024,4,25,80,C
2024,4,26,86,C
2024,4,27,82,C
2024,4,28,84,C
2024,4,29,80,C
2024,4,30,76,C
2024,5,1,90,C
2024,5,2,82,C
2024,5,3,75,C
2024,5,4,91,C
2024,5,5,82,C
2024,5,6,74,C
2024,5,7,72,C
2024,5,8,68,C
2024,5,9,49,C
2024,5,10,61,C
2024,5,11,71,C
2024,5,12,80,C
2024,5,13,76,C
2024,5,14,56,C
2024,5,15,52,C
2024,5,16,44,C
2024,5,17,61,C
2024,5,18,59,C
2024,5,19,68,C
2024,5,20,88,C
2024,5,21,94,C
2024,5,22,86,C
2024,5,23,89,C
2024,5,24,93,C
2024,5,25,85,C
2024,5,26,84,C
2024,5,27,85,C
2024,5,28,80,C
2024,5,29,60,C
2024,5,30,78,C
2024,5,31,86,C
2024,6,1,87,C
2024,6,2,84,C
2024,6,3,86,C
2024,6,4,75,C
2024,6,5,79,C
2024,6,6,84,C
2024,6,7,86,C
2024,6,8,83,C
2024,6,9,90,C
2024,6,10,81,C
2024,6,11,79,C
2024,6,12,76,#
2024,6,13,72,#
2024,6,14,83,C
2024,6,15,86,C
2024,6,16,80,C
2024,6,17,74,C
2024,6,18,75,C
2024,6,19,74,C
2024,6,20,74,C
2024,6,21,71,C
2024,6,22,69,C
2024,6,23,75,C
2024,6,24,76,C
2024,6,25,77,C
2024,6,26,71,C
2024,6,27,69,C
2024,6,28,69,C
2024,6,29,73,C
2024,6,30,72,C
2024,7,1,68,C
2024,7,2,71,C
2024,7,3,67,C
2024,7,4,70,C
2024,7,5,68,C
2024,7,6,68,C
2024,7,7,67,C
2024,7,8,66,C
2024,7,9,64,C
2024,7,10,67,C
2024,7,11,69,C
2024,7,12,71,C
2024,7,13,71,C
2024,7,14,71,C
2024,7,15,77,C
2024,7,16,78,C
2024,7,17,75,C
2024,7,18,80,C
2024,7,19,84,C
2024,7,20,75,C
2024,7,21,72,C
2024,7,22,70,C
2024,7,23,70,C
2024,7,24,72,C
2024,7,25,71,C
2024,7,26,81,C
2024,7,27,82,C
2024,7,28,88,C
2024,7,29,84,C
2024,7,30,83,C
2024,7,31,90,C
2024,8,1,75,C
2024,8,2,74,C
2024,8,3,69,C
2024,8,4,68,C
2024,8,5,69,C
2024,8,6,71,C
2024,8,7,70,C
2024,8,8,69,C
2024,8,9,68,C
2024,8,10,72,C
2024,8,11,73,C
2024,8,12,77,C
2024,8,13,77,C
2024,8,14,81,C
2024,8,15,86,C
2024,8,16,81,C
2024,8,17,87,C
2024,8,18,85,C
2024,8,19,87,C
2024,8,20,83,C
2024,8,21,84,C
2024,8,22,78,C
2024,8,23,76,C
2024,8,24,68,C
2024,8,25,67,C
2024,8,26,67,C
2024,8,27,68,C
2024,8,28,71,C
2024,8,29,75,C
2024,8,30,74,C
2024,8,31,75,C
2024,9,1,72,C
2024,9,2,73,C
2024,9,3,71,C
2024,9,4,72,C
2024,9,5,70,C
2024,9,6,84,C
2024,9,7,77,C
2024,9,8,85,C
2024,9,9,75,C
2024,9,10,69,C
2024,9,11,69,C
2024,9,12,70,C
2024,9,13,68,C
2024,9,14,77,C
2024,9,15,66,C
2024,9,16,65,C
2024,9,17,63,C
2024,9,18,65,C
2024,9,19,61,C
2024,9,20,73,C
2024,9,21,90,C
2024,9,22,81,C
2024,9,23,85,C
2024,9,24,90,C
2024,9,25,74,C
2024,9,26,71,C
2024,9,27,69,C
2024,9,28,68,C
2024,9,29,68,C
2024,9,30,62,C
2024,10,1,49,C
2024,10,2,44,C
2024,10,3,41,C
2024,10,4,41,C
2024,10,5,49,C
2024,10,6,57,C
2024,10,7,57,C
2024,10,8,50,C
2024,10,9,57,#
2024,10,10,55,C
2024,10,11,64,C
2024,10,12,58,C
2024,10,13,64,C
2024,10,14,63,C
2024,10,15,66,C
2024,10,16,62,C
2024,10,17,62,C
2024,10,18,66,C
2024,10,19,69,C
2024,10,20,65,C
2024,10,21,64,C
2024,10,22,54,C
2024,10,23,47,C
2024,10,24,37,C
2024,10,25,40,C
2024,10,26,60,C
2024,10,27,70,C
2024,10,28,66,C
2024,10,29,68,C
2024,10,30,62,C
2024,10,31,52,C
2024,11,1,54,C
2024,11,2,62,C
2024,11,3,71,C
2024,11,4,77,C
2024,11,5,62,C
2024,11,6,61,C
2024,11,7,47,C
2024,11,8,44,C
2024,11,9,58,C
2024,11,10,76,C
2024,11,11,76,C
2024,11,12,76,C
2024,11,13,84,C
2024,11,14,92,C
2024,11,15,96,C
2024,11,16,89,C
2024,11,17,92,C
