平均相對濕度(百分比) - 荃灣
Mean Relative Humidity (%) - Tsuen Wan
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,73,C
2024,1,2,77,C
2024,1,3,68,C
2024,1,4,72,C
2024,1,5,80,C
2024,1,6,80,C
2024,1,7,72,C
2024,1,8,71,C
2024,1,9,81,C
2024,1,10,76,C
2024,1,11,72,C
2024,1,12,81,C
2024,1,13,57,C
2024,1,14,62,C
2024,1,15,70,C
2024,1,16,75,C
2024,1,17,79,C
2024,1,18,78,C
2024,1,19,78,C
2024,1,20,79,C
2024,1,21,69,C
2024,1,22,75,C
2024,1,23,77,C
2024,1,24,59,C
2024,1,25,55,C
2024,1,26,60,C
2024,1,27,68,C
2024,1,28,87,C
2024,1,29,85,C
2024,1,30,92,C
2024,1,31,93,C
2024,2,1,90,C
2024,2,2,86,C
2024,2,3,85,C
2024,2,4,91,C
2024,2,5,88,C
2024,2,6,85,C
2024,2,7,92,C
2024,2,8,90,C
2024,2,9,82,C
2024,2,10,74,C
2024,2,11,53,C
2024,2,12,46,C
2024,2,13,76,C
2024,2,14,82,C
2024,2,15,76,C
2024,2,16,76,C
2024,2,17,82,C
2024,2,18,83,C
2024,2,19,88,C
2024,2,20,86,C
2024,2,21,83,C
2024,2,22,86,C
2024,2,23,88,C
2024,2,24,79,C
2024,2,25,75,C
2024,2,26,76,C
2024,2,27,72,C
2024,2,28,87,C
2024,2,29,88,C
2024,3,1,78,C
2024,3,2,83,C
2024,3,3,84,C
2024,3,4,91,C
2024,3,5,94,C
2024,3,6,86,C
2024,3,7,82,C
2024,3,8,71,C
2024,3,9,78,C
2024,3,10,89,C
2024,3,11,95,C
2024,3,12,63,C
2024,3,13,67,C
2024,3,14,77,C
2024,3,15,84,C
2024,3,16,90,C
2024,3,17,88,C
2024,3,18,92,C
2024,3,19,73,C
2024,3,20,59,C
2024,3,21,65,C
2024,3,22,81,C
2024,3,23,84,C
2024,3,24,81,C
2024,3,25,85,C
2024,3,26,83,C
2024,3,27,84,C
