平均相對濕度(百分比) - 荃灣城門谷
Mean Relative Humidity (%) - Tsuen Wan Shing Mun Valley
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,71,C
2024,1,2,76,C
2024,1,3,66,C
2024,1,4,68,C
2024,1,5,78,C
2024,1,6,80,C
2024,1,7,70,C
2024,1,8,69,C
2024,1,9,77,C
2024,1,10,71,C
2024,1,11,68,C
2024,1,12,78,C
2024,1,13,56,C
2024,1,14,59,C
2024,1,15,71,C
2024,1,16,72,C
2024,1,17,72,C
2024,1,18,73,C
2024,1,19,79,C
2024,1,20,79,C
2024,1,21,69,C
2024,1,22,72,C
2024,1,23,76,C
2024,1,24,57,C
2024,1,25,54,C
2024,1,26,58,C
2024,1,27,65,C
2024,1,28,83,C
2024,1,29,81,C
2024,1,30,87,C
2024,1,31,90,C
2024,2,1,86,C
2024,2,2,84,C
2024,2,3,83,C
2024,2,4,88,C
2024,2,5,85,C
2024,2,6,84,C
2024,2,7,89,C
2024,2,8,87,C
2024,2,9,80,C
2024,2,10,75,C
2024,2,11,58,C
2024,2,12,45,C
2024,2,13,71,C
2024,2,14,80,C
2024,2,15,74,C
2024,2,16,81,C
2024,2,17,80,C
2024,2,18,81,C
2024,2,19,85,C
2024,2,20,83,C
2024,2,21,80,C
2024,2,22,83,C
2024,2,23,84,C
2024,2,24,75,C
2024,2,25,72,C
2024,2,26,74,C
2024,2,27,70,C
2024,2,28,85,C
2024,2,29,84,C
2024,3,1,75,C
2024,3,2,77,C
2024,3,3,81,C
2024,3,4,87,C
2024,3,5,91,C
2024,3,6,85,C
2024,3,7,77,C
2024,3,8,68,C
2024,3,9,73,C
2024,3,10,86,C
2024,3,11,95,C
2024,3,12,60,C
2024,3,13,63,C
2024,3,14,72,C
2024,3,15,81,C
2024,3,16,87,C
2024,3,17,85,C
2024,3,18,92,C
2024,3,19,70,C
2024,3,20,53,C
2024,3,21,63,C
2024,3,22,79,C
2024,3,23,82,C
2024,3,24,77,C
2024,3,25,82,C
2024,3,26,81,C
2024,3,27,83,C
2024,3,28,82,C
2024,3,29,83,C
2024,3,30,82,C
2024,3,31,95,C
2024,4,1,85,C
2024,4,2,80,C
2024,4,3,80,C
2024,4,4,81,C
2024,4,5,79,C
2024,4,6,91,C
2024,4,7,93,C
2024,4,8,88,C
2024,4,9,81,C
2024,4,10,68,C
2024,4,11,77,C
2024,4,12,80,C
2024,4,13,80,C
2024,4,14,79,C
2024,4,15,84,C
2024,4,16,82,C
2024,4,17,85,C
2024,4,18,92,C
2024,4,19,84,C
2024,4,20,86,C
2024,4,21,96,C
2024,4,22,97,C
2024,4,23,98,C
2024,4,24,90,C
2024,4,25,93,C
2024,4,26,97,C
2024,4,27,92,C
2024,4,28,91,C
2024,4,29,85,C
2024,4,30,89,C
2024,5,1,98,C
2024,5,2,90,C
2024,5,3,88,C
2024,5,4,96,C
2024,5,5,89,C
2024,5,6,83,C
2024,5,7,81,C
2024,5,8,75,C
2024,5,9,64,C
2024,5,10,73,C
2024,5,11,80,C
2024,5,12,88,C
2024,5,13,87,C
2024,5,14,67,C
2024,5,15,63,C
2024,5,16,56,C
2024,5,17,71,C
2024,5,18,70,C
2024,5,19,80,C
2024,5,20,93,C
2024,5,21,96,C
2024,5,22,93,C
2024,5,23,92,C
2024,5,24,95,C
2024,5,25,93,C
2024,5,26,89,C
2024,5,27,92,C
2024,5,28,85,C
2024,5,29,69,C
2024,5,30,86,C
2024,5,31,94,C
