平均相對濕度(百分比) - 新青衣站
Mean Relative Humidity (%) - New Tsing Yi Station
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,70,C
2024,1,2,74,C
2024,1,3,63,C
2024,1,4,64,C
2024,1,5,77,C
2024,1,6,81,C
2024,1,7,67,C
2024,1,8,68,C
2024,1,9,77,C
2024,1,10,67,C
2024,1,11,64,C
2024,1,12,73,C
2024,1,13,50,C
2024,1,14,55,C
2024,1,15,68,C
2024,1,16,71,C
2024,1,17,68,C
2024,1,18,71,C
2024,1,19,75,C
2024,1,20,74,C
2024,1,21,63,C
2024,1,22,70,C
2024,1,23,71,C
2024,1,24,55,C
2024,1,25,51,C
2024,1,26,56,C
2024,1,27,63,C
2024,1,28,81,C
2024,1,29,79,C
2024,1,30,86,C
2024,1,31,88,C
2024,2,1,88,C
2024,2,2,84,C
2024,2,3,80,C
2024,2,4,86,C
2024,2,5,82,C
2024,2,6,80,C
2024,2,7,87,C
2024,2,8,84,C
2024,2,9,76,C
2024,2,10,72,C
2024,2,11,54,C
2024,2,12,43,C
2024,2,13,68,C
2024,2,14,79,C
2024,2,15,72,C
2024,2,16,74,C
2024,2,17,78,C
2024,2,18,80,C
2024,2,19,84,C
2024,2,20,80,C
2024,2,21,80,C
2024,2,22,80,C
2024,2,23,81,C
2024,2,24,71,C
2024,2,25,68,C
2024,2,26,71,C
2024,2,27,68,C
2024,2,28,82,C
2024,2,29,83,C
2024,3,1,72,C
2024,3,2,73,C
2024,3,3,79,C
2024,3,4,86,C
2024,3,5,88,C
2024,3,6,82,C
2024,3,7,74,C
2024,3,8,62,C
2024,3,9,71,C
2024,3,10,84,C
2024,3,11,91,C
2024,3,12,56,C
2024,3,13,63,C
2024,3,14,69,C
2024,3,15,78,C
2024,3,16,84,C
2024,3,17,84,C
2024,3,18,89,C
2024,3,19,67,C
2024,3,20,48,C
2024,3,21,60,C
2024,3,22,76,C
2024,3,23,79,C
2024,3,24,76,C
2024,3,25,83,C
2024,3,26,78,C
2024,3,27,78,C
2024,3,28,81,C
2024,3,29,84,C
2024,3,30,83,C
2024,3,31,94,C
2024,4,1,84,C
2024,4,2,79,C
2024,4,3,79,C
2024,4,4,79,C
2024,4,5,74,C
2024,4,6,86,C
2024,4,7,89,C
2024,4,8,85,C
2024,4,9,76,C
2024,4,10,62,C
2024,4,11,72,C
2024,4,12,80,C
2024,4,13,81,C
2024,4,14,78,C
2024,4,15,85,C
2024,4,16,82,C
2024,4,17,84,C
2024,4,18,86,C
2024,4,19,79,C
2024,4,20,82,C
2024,4,21,92,C
2024,4,22,93,C
2024,4,23,94,C
2024,4,24,87,C
2024,4,25,87,C
2024,4,26,93,C
2024,4,27,90,C
2024,4,28,87,C
2024,4,29,84,C
2024,4,30,88,C
2024,5,1,96,C
2024,5,2,85,C
2024,5,3,83,C
2024,5,4,94,C
2024,5,5,86,C
2024,5,6,83,C
2024,5,7,77,C
2024,5,8,70,C
2024,5,9,60,C
2024,5,10,69,C
2024,5,11,74,C
2024,5,12,84,C
2024,5,13,78,C
2024,5,14,61,C
2024,5,15,55,C
2024,5,16,49,C
2024,5,17,66,C
2024,5,18,64,C
2024,5,19,75,C
2024,5,20,89,C
2024,5,21,94,C
2024,5,22,89,C
2024,5,23,88,C
2024,5,24,91,C
2024,5,25,87,C
2024,5,26,86,C
2024,5,27,88,C
2024,5,28,84,C
2024,5,29,65,C
2024,5,30,83,C
2024,5,31,90,C
2024,6,1,90,C
2024,6,2,87,C
2024,6,3,89,C
2024,6,4,82,C
2024,6,5,86,C
2024,6,6,86,C
2024,6,7,87,C
2024,6,8,84,C
2024,6,9,92,C
2024,6,10,88,C
2024,6,11,92,C
2024,6,12,91,C
2024,6,13,91,C
2024,6,14,93,C
2024,6,15,94,C
2024,6,16,94,C
2024,6,17,87,C
2024,6,18,88,C
2024,6,19,83,C
2024,6,20,84,C
2024,6,21,80,C
2024,6,22,76,C
2024,6,23,79,C
2024,6,24,76,C
2024,6,25,81,C
2024,6,26,76,C
2024,6,27,73,C
2024,6,28,77,C
2024,6,29,85,C
2024,6,30,85,C
2024,7,1,84,C
2024,7,2,84,C
2024,7,3,71,C
2024,7,4,77,C
2024,7,5,76,C
2024,7,6,75,C
2024,7,7,75,C
2024,7,8,79,C
2024,7,9,75,C
2024,7,10,78,C
2024,7,11,82,C
2024,7,12,79,C
2024,7,13,76,C
2024,7,14,77,C
2024,7,15,83,C
2024,7,16,83,C
2024,7,17,82,C
2024,7,18,87,C
2024,7,19,91,C
2024,7,20,79,C
2024,7,21,78,C
2024,7,22,73,C
2024,7,23,81,C
2024,7,24,79,C
2024,7,25,76,C
2024,7,26,90,C
2024,7,27,92,C
2024,7,28,93,C
2024,7,29,87,C
2024,7,30,89,C
2024,7,31,94,C
2024,8,1,88,C
2024,8,2,85,C
2024,8,3,84,C
2024,8,4,81,C
2024,8,5,82,C
2024,8,6,86,C
2024,8,7,84,C
2024,8,8,81,C
2024,8,9,81,C
2024,8,10,85,C
2024,8,11,87,C
2024,8,12,88,C
2024,8,13,87,C
2024,8,14,90,C
2024,8,15,92,C
2024,8,16,89,C
2024,8,17,93,C
2024,8,18,93,C
2024,8,19,92,C
2024,8,20,93,C
2024,8,21,94,C
2024,8,22,89,C
2024,8,23,87,C
2024,8,24,83,C
2024,8,25,82,C
2024,8,26,81,C
2024,8,27,82,C
2024,8,28,84,C
2024,8,29,80,C
2024,8,30,77,C
2024,8,31,82,C
2024,9,1,84,C
2024,9,2,80,C
2024,9,3,80,C
2024,9,4,80,C
2024,9,5,71,C
2024,9,6,87,C
2024,9,7,85,C
2024,9,8,88,C
2024,9,9,84,C
2024,9,10,75,C
2024,9,11,80,C
2024,9,12,84,C
2024,9,13,77,C
2024,9,14,80,C
2024,9,15,77,C
2024,9,16,75,C
2024,9,17,68,C
2024,9,18,70,C
2024,9,19,68,C
2024,9,20,79,C
2024,9,21,93,C
2024,9,22,86,C
2024,9,23,88,C
2024,9,24,95,C
2024,9,25,88,C
2024,9,26,83,C
2024,9,27,80,C
2024,9,28,83,C
2024,9,29,80,C
2024,9,30,73,C
2024,10,1,58,C
2024,10,2,53,C
2024,10,3,47,C
2024,10,4,47,C
2024,10,5,60,C
2024,10,6,73,C
2024,10,7,69,C
2024,10,8,62,C
2024,10,9,67,C
2024,10,10,68,C
2024,10,11,78,C
2024,10,12,65,C
2024,10,13,71,C
2024,10,14,70,C
2024,10,15,70,C
2024,10,16,70,C
2024,10,17,73,C
2024,10,18,72,C
2024,10,19,78,C
2024,10,20,76,C
2024,10,21,74,C
2024,10,22,63,C
2024,10,23,56,C
2024,10,24,40,C
2024,10,25,44,C
2024,10,26,63,C
2024,10,27,70,C
2024,10,28,66,C
2024,10,29,67,C
2024,10,30,62,C
2024,10,31,51,C
2024,11,1,55,C
2024,11,2,63,C
2024,11,3,70,C
2024,11,4,74,C
2024,11,5,68,C
2024,11,6,61,C
2024,11,7,51,C
2024,11,8,49,C
2024,11,9,60,C
2024,11,10,80,C
2024,11,11,77,C
2024,11,12,79,C
2024,11,13,81,C
2024,11,14,88,C
2024,11,15,95,C
2024,11,16,90,C
2024,11,17,88,C
2024,11,18,70,C
2024,11,19,82,C
2024,11,20,95,C
2024,11,21,84,C
2024,11,22,71,C
2024,11,23,68,C
2024,11,24,74,C
2024,11,25,77,C
2024,11,26,63,C
2024,11,27,41,C
2024,11,28,33,C
2024,11,29,30,C
2024,11,30,56,C
2024,12,1,72,C
2024,12,2,71,C
2024,12,3,73,C
2024,12,4,68,C
2024,12,5,78,C
2024,12,6,72,C
2024,12,7,67,C
2024,12,8,64,C
2024,12,9,68,C
2024,12,10,68,C
2024,12,11,70,C
2024,12,12,63,C
2024,12,13,58,C
2024,12,14,46,C
