平均相對濕度(百分比) - 北潭涌(鯽魚湖)
Mean Relative Humidity (%) - Pak Tam Chung (Tsak Yue Wu)
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,80,C
2024,1,2,81,C
2024,1,3,69,C
2024,1,4,76,C
2024,1,5,85,C
2024,1,6,85,C
2024,1,7,82,C
2024,1,8,77,C
2024,1,9,86,C
2024,1,10,76,C
2024,1,11,79,C
2024,1,12,86,C
2024,1,13,78,C
2024,1,14,78,C
2024,1,15,80,C
2024,1,16,77,C
2024,1,17,85,C
2024,1,18,85,C
2024,1,19,86,C
2024,1,20,78,C
2024,1,21,73,C
2024,1,22,77,C
2024,1,23,79,C
2024,1,24,61,C
2024,1,25,56,C
2024,1,26,65,C
2024,1,27,69,C
2024,1,28,87,C
2024,1,29,86,C
2024,1,30,90,C
2024,1,31,93,C
2024,2,1,94,C
2024,2,2,91,C
2024,2,3,88,C
2024,2,4,96,C
2024,2,5,88,C
2024,2,6,87,C
2024,2,7,95,C
2024,2,8,89,C
2024,2,9,79,C
2024,2,10,74,C
2024,2,11,73,C
2024,2,12,72,C
2024,2,13,80,C
2024,2,14,83,C
2024,2,15,80,C
2024,2,16,84,C
2024,2,17,84,C
2024,2,18,91,C
2024,2,19,93,C
2024,2,20,94,C
2024,2,21,91,C
2024,2,22,90,C
2024,2,23,82,C
2024,2,24,76,C
2024,2,25,76,C
2024,2,26,79,C
2024,2,27,76,C
2024,2,28,86,C
2024,2,29,88,C
2024,3,1,77,C
2024,3,2,79,C
2024,3,3,88,C
2024,3,4,96,C
2024,3,5,96,C
2024,3,6,89,C
2024,3,7,78,C
2024,3,8,70,C
2024,3,9,79,C
2024,3,10,90,C
2024,3,11,95,C
2024,3,12,72,C
2024,3,13,77,C
2024,3,14,73,C
2024,3,15,85,C
2024,3,16,93,C
2024,3,17,90,C
2024,3,18,94,C
2024,3,19,74,#
2024,3,20,68,#
2024,3,21,70,C
2024,3,22,86,C
2024,3,23,89,C
2024,3,24,84,C
2024,3,25,85,C
2024,3,26,81,C
2024,3,27,87,C
2024,3,28,86,C
2024,3,29,86,C
2024,3,30,90,C
2024,3,31,94,C
2024,4,1,92,C
2024,4,2,87,C
2024,4,3,91,C
2024,4,4,92,C
2024,4,5,87,C
2024,4,6,94,C
2024,4,7,95,C
2024,4,8,93,C
2024,4,9,85,C
2024,4,10,76,C
2024,4,11,84,C
2024,4,12,87,C
2024,4,13,86,C
2024,4,14,88,C
2024,4,15,89,C
2024,4,16,84,C
2024,4,17,87,C
2024,4,18,96,C
2024,4,19,92,C
2024,4,20,90,C
2024,4,21,98,C
2024,4,22,96,C
2024,4,23,98,C
2024,4,24,94,C
2024,4,25,93,C
2024,4,26,98,C
2024,4,27,97,C
2024,4,28,95,C
2024,4,29,93,C
2024,4,30,92,C
2024,5,1,98,C
2024,5,2,92,C
2024,5,3,86,C
2024,5,4,95,#
2024,5,5,***,
2024,5,6,93,#
2024,5,7,90,C
2024,5,8,86,C
2024,5,9,68,C
2024,5,10,72,C
2024,5,11,82,C
2024,5,12,93,C
2024,5,13,86,C
2024,5,14,72,C
2024,5,15,77,C
2024,5,16,75,C
2024,5,17,76,C
2024,5,18,80,C
2024,5,19,85,C
2024,5,20,95,C
2024,5,21,96,C
2024,5,22,94,C
2024,5,23,96,C
2024,5,24,98,C
2024,5,25,95,C
2024,5,26,94,C
2024,5,27,92,C
2024,5,28,86,C
2024,5,29,70,C
2024,5,30,87,C
2024,5,31,92,C
2024,6,1,95,C
2024,6,2,88,C
2024,6,3,93,C
2024,6,4,84,C
2024,6,5,92,C
2024,6,6,92,C
2024,6,7,93,C
2024,6,8,94,C
2024,6,9,98,C
