平均相對濕度(百分比) - 橫瀾島
Mean Relative Humidity (%) - Waglan Island
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,80,C
2024,1,2,79,C
2024,1,3,68,C
2024,1,4,71,C
2024,1,5,78,C
2024,1,6,82,C
2024,1,7,76,C
2024,1,8,79,C
2024,1,9,83,C
2024,1,10,73,C
2024,1,11,72,C
2024,1,12,76,C
2024,1,13,62,C
2024,1,14,65,C
2024,1,15,78,C
2024,1,16,80,C
2024,1,17,79,#
2024,1,18,80,C
2024,1,19,83,C
2024,1,20,79,C
2024,1,21,70,C
2024,1,22,76,C
2024,1,23,82,C
2024,1,24,67,C
2024,1,25,61,C
2024,1,26,66,C
2024,1,27,69,C
2024,1,28,84,C
2024,1,29,85,C
2024,1,30,89,C
2024,1,31,93,C
2024,2,1,97,C
2024,2,2,97,C
2024,2,3,93,C
2024,2,4,98,C
2024,2,5,92,C
2024,2,6,91,C
2024,2,7,96,C
2024,2,8,90,C
2024,2,9,82,C
2024,2,10,75,C
2024,2,11,61,C
2024,2,12,60,C
2024,2,13,74,C
2024,2,14,83,C
2024,2,15,76,C
2024,2,16,83,C
2024,2,17,88,C
2024,2,18,92,C
2024,2,19,96,C
2024,2,20,96,C
2024,2,21,93,C
2024,2,22,95,C
2024,2,23,93,C
2024,2,24,81,C
2024,2,25,76,C
2024,2,26,83,C
2024,2,27,80,C
2024,2,28,90,C
2024,2,29,87,C
2024,3,1,76,C
2024,3,2,76,C
2024,3,3,86,C
2024,3,4,96,C
2024,3,5,92,C
2024,3,6,91,#
2024,3,7,78,C
2024,3,8,72,C
2024,3,9,77,C
2024,3,10,86,C
2024,3,11,95,C
2024,3,12,69,C
2024,3,13,74,C
2024,3,14,79,C
2024,3,15,85,C
2024,3,16,93,C
2024,3,17,94,C
2024,3,18,95,C
2024,3,19,76,C
2024,3,20,60,C
2024,3,21,70,C
2024,3,22,90,C
2024,3,23,93,C
2024,3,24,92,C
2024,3,25,87,C
2024,3,26,84,C
2024,3,27,89,C
2024,3,28,87,C
2024,3,29,87,C
2024,3,30,90,C
2024,3,31,93,C
2024,4,1,92,C
2024,4,2,88,C
2024,4,3,90,C
2024,4,4,90,C
2024,4,5,89,#
2024,4,6,94,C
2024,4,7,93,C
2024,4,8,93,C
2024,4,9,83,C
2024,4,10,72,C
2024,4,11,84,C
2024,4,12,83,C
2024,4,13,84,C
2024,4,14,88,C
2024,4,15,87,C
2024,4,16,85,C
2024,4,17,85,C
2024,4,18,86,C
2024,4,19,89,C
2024,4,20,86,C
2024,4,21,93,C
2024,4,22,94,C
2024,4,23,96,C
2024,4,24,94,C
2024,4,25,92,C
2024,4,26,95,C
2024,4,27,93,C
2024,4,28,95,C
2024,4,29,94,C
2024,4,30,90,C
2024,5,1,96,#
2024,5,2,***,
2024,5,3,***,
2024,5,4,***,
2024,5,5,***,
2024,5,6,***,
2024,5,7,***,
2024,5,8,***,
2024,5,9,***,
2024,5,10,***,
2024,5,11,***,
2024,5,12,***,
2024,5,13,***,
2024,5,14,64,#
2024,5,15,70,C
2024,5,16,68,C
2024,5,17,75,C
2024,5,18,78,C
2024,5,19,86,C
2024,5,20,96,C
2024,5,21,96,C
2024,5,22,95,C
2024,5,23,95,C
2024,5,24,96,C
2024,5,25,95,C
2024,5,26,94,C
2024,5,27,91,C
2024,5,28,91,C
2024,5,29,79,C
2024,5,30,91,C
2024,5,31,94,C
2024,6,1,94,C
2024,6,2,91,C
2024,6,3,94,C
2024,6,4,89,C
2024,6,5,93,C
2024,6,6,95,C
2024,6,7,96,C
2024,6,8,97,C
2024,6,9,98,C
2024,6,10,94,C
2024,6,11,93,C
2024,6,12,91,C
2024,6,13,92,C
2024,6,14,93,C
2024,6,15,93,C
2024,6,16,92,C
2024,6,17,88,C
2024,6,18,91,C
2024,6,19,90,C
2024,6,20,90,C
2024,6,21,85,C
2024,6,22,86,C
2024,6,23,86,C
2024,6,24,88,C
2024,6,25,88,C
2024,6,26,88,C
2024,6,27,87,C
2024,6,28,85,C
2024,6,29,89,C
2024,6,30,86,C
2024,7,1,85,C
2024,7,2,87,C
2024,7,3,83,C
2024,7,4,84,C
2024,7,5,82,C
2024,7,6,86,C
2024,7,7,80,C
2024,7,8,79,C
2024,7,9,77,C
2024,7,10,78,C
2024,7,11,78,C
2024,7,12,85,C
2024,7,13,83,C
2024,7,14,85,C
2024,7,15,88,C
2024,7,16,92,C
2024,7,17,87,C
2024,7,18,90,C
2024,7,19,90,C
2024,7,20,89,C
2024,7,21,88,C
2024,7,22,87,C
2024,7,23,83,C
2024,7,24,85,C
2024,7,25,84,C
2024,7,26,93,C
2024,7,27,97,C
2024,7,28,98,C
2024,7,29,96,C
2024,7,30,95,C
2024,7,31,95,C
2024,8,1,90,C
2024,8,2,89,C
2024,8,3,86,C
2024,8,4,86,C
2024,8,5,88,C
2024,8,6,84,C
2024,8,7,84,C
2024,8,8,85,C
2024,8,9,87,C
2024,8,10,88,C
2024,8,11,88,C
2024,8,12,91,C
2024,8,13,89,C
2024,8,14,91,C
2024,8,15,93,C
2024,8,16,93,C
2024,8,17,97,C
2024,8,18,94,C
2024,8,19,96,C
2024,8,20,98,C
2024,8,21,96,C
