平均相對濕度(百分比) - 濕地公園
Mean Relative Humidity (%) - Wetland Park
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,74,C
2024,1,2,77,C
2024,1,3,68,C
2024,1,4,67,C
2024,1,5,81,C
2024,1,6,81,C
2024,1,7,76,C
2024,1,8,73,C
2024,1,9,78,C
2024,1,10,68,C
2024,1,11,67,C
2024,1,12,82,C
2024,1,13,65,C
2024,1,14,66,C
2024,1,15,73,C
2024,1,16,73,C
2024,1,17,76,C
2024,1,18,78,C
2024,1,19,83,C
2024,1,20,81,C
2024,1,21,65,C
2024,1,22,71,C
2024,1,23,78,C
2024,1,24,56,C
2024,1,25,52,C
2024,1,26,57,C
2024,1,27,65,C
2024,1,28,83,C
2024,1,29,80,C
2024,1,30,88,C
2024,1,31,90,C
2024,2,1,89,C
2024,2,2,88,C
2024,2,3,84,C
2024,2,4,90,C
2024,2,5,87,C
2024,2,6,83,C
2024,2,7,92,C
2024,2,8,87,C
2024,2,9,80,C
2024,2,10,66,C
2024,2,11,68,C
2024,2,12,53,C
2024,2,13,80,C
2024,2,14,85,C
2024,2,15,78,C
2024,2,16,80,C
2024,2,17,80,C
2024,2,18,84,C
2024,2,19,87,C
2024,2,20,83,C
2024,2,21,82,C
2024,2,22,84,C
2024,2,23,77,C
2024,2,24,71,C
2024,2,25,70,C
2024,2,26,70,C
2024,2,27,66,C
2024,2,28,78,C
2024,2,29,89,C
2024,3,1,76,C
2024,3,2,76,C
2024,3,3,80,C
2024,3,4,86,C
2024,3,5,86,C
2024,3,6,84,C
2024,3,7,75,C
2024,3,8,63,C
2024,3,9,77,C
2024,3,10,91,C
2024,3,11,97,C
2024,3,12,68,C
2024,3,13,68,C
2024,3,14,72,C
2024,3,15,81,C
2024,3,16,88,C
2024,3,17,90,C
2024,3,18,91,C
2024,3,19,75,C
2024,3,20,54,C
2024,3,21,63,C
2024,3,22,80,C
2024,3,23,85,C
2024,3,24,78,C
2024,3,25,82,C
2024,3,26,81,C
2024,3,27,80,C
2024,3,28,82,C
2024,3,29,81,C
2024,3,30,82,C
2024,3,31,84,C
2024,4,1,84,C
2024,4,2,82,C
2024,4,3,86,C
2024,4,4,85,C
2024,4,5,78,C
2024,4,6,91,C
2024,4,7,92,C
2024,4,8,93,C
2024,4,9,84,C
2024,4,10,69,C
2024,4,11,78,C
2024,4,12,83,C
2024,4,13,82,C
2024,4,14,81,C
2024,4,15,84,C
2024,4,16,80,C
2024,4,17,80,C
2024,4,18,87,C
2024,4,19,87,C
2024,4,20,86,C
2024,4,21,97,C
2024,4,22,96,C
2024,4,23,96,C
2024,4,24,91,C
2024,4,25,90,C
2024,4,26,93,C
2024,4,27,89,C
2024,4,28,91,C
2024,4,29,89,C
2024,4,30,85,C
2024,5,1,97,C
2024,5,2,92,C
2024,5,3,87,C
2024,5,4,97,C
2024,5,5,91,C
2024,5,6,84,C
2024,5,7,82,C
2024,5,8,82,C
2024,5,9,64,C
2024,5,10,74,C
2024,5,11,82,C
2024,5,12,91,C
2024,5,13,89,C
2024,5,14,73,C
2024,5,15,74,C
2024,5,16,62,C
2024,5,17,76,C
2024,5,18,75,C
2024,5,19,81,C
2024,5,20,94,C
2024,5,21,99,C
2024,5,22,93,C
2024,5,23,95,C
2024,5,24,99,C
2024,5,25,97,C
2024,5,26,93,C
2024,5,27,90,C
2024,5,28,88,C
2024,5,29,69,C
2024,5,30,88,#
2024,5,31,95,C
2024,6,1,92,C
2024,6,2,86,C
2024,6,3,94,C
2024,6,4,88,C
2024,6,5,89,C
2024,6,6,92,C
2024,6,7,95,C
2024,6,8,91,C
2024,6,9,98,C
2024,6,10,90,C
2024,6,11,87,C
2024,6,12,86,C
2024,6,13,83,C
2024,6,14,94,C
2024,6,15,97,C
2024,6,16,91,C
2024,6,17,87,C
