平均相對濕度(百分比) - 大埔(元洲仔公園)
Mean Relative Humidity (%) - Tai Po(Yuen Chau Tsai Park)
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,75,C
2024,1,2,78,C
2024,1,3,65,C
2024,1,4,68,C
2024,1,5,80,C
2024,1,6,80,C
2024,1,7,77,C
2024,1,8,73,C
2024,1,9,81,C
2024,1,10,72,C
2024,1,11,69,C
2024,1,12,78,C
2024,1,13,65,C
2024,1,14,65,C
2024,1,15,77,C
2024,1,16,75,C
2024,1,17,78,C
2024,1,18,79,C
2024,1,19,85,C
2024,1,20,73,C
2024,1,21,65,C
2024,1,22,71,C
2024,1,23,72,C
2024,1,24,53,C
2024,1,25,49,C
2024,1,26,55,C
2024,1,27,61,C
2024,1,28,84,C
2024,1,29,81,C
2024,1,30,91,C
2024,1,31,97,C
2024,2,1,94,C
2024,2,2,90,C
2024,2,3,87,C
2024,2,4,96,C
2024,2,5,90,C
2024,2,6,90,C
2024,2,7,90,C
2024,2,8,84,C
2024,2,9,76,C
2024,2,10,68,C
2024,2,11,62,C
2024,2,12,58,C
2024,2,13,75,C
2024,2,14,83,C
2024,2,15,75,C
2024,2,16,79,C
2024,2,17,84,C
2024,2,18,90,C
2024,2,19,93,C
2024,2,20,90,C
2024,2,21,88,C
2024,2,22,90,C
2024,2,23,85,C
2024,2,24,72,C
2024,2,25,69,C
2024,2,26,72,C
2024,2,27,69,C
2024,2,28,88,C
2024,2,29,87,C
2024,3,1,70,C
2024,3,2,73,C
2024,3,3,85,C
2024,3,4,94,C
2024,3,5,89,C
2024,3,6,87,C
2024,3,7,79,C
2024,3,8,70,C
2024,3,9,77,C
2024,3,10,89,C
2024,3,11,94,C
2024,3,12,70,C
2024,3,13,67,C
2024,3,14,75,C
2024,3,15,86,C
2024,3,16,94,C
2024,3,17,90,C
2024,3,18,95,C
2024,3,19,76,C
2024,3,20,62,C
2024,3,21,66,C
2024,3,22,88,C
2024,3,23,91,C
2024,3,24,85,C
2024,3,25,81,C
2024,3,26,79,C
2024,3,27,86,C
2024,3,28,83,C
2024,3,29,83,C
2024,3,30,83,C
2024,3,31,90,C
2024,4,1,79,C
2024,4,2,76,C
2024,4,3,76,C
2024,4,4,80,C
2024,4,5,87,C
2024,4,6,96,C
2024,4,7,94,C
2024,4,8,93,C
2024,4,9,84,C
2024,4,10,73,C
2024,4,11,82,C
2024,4,12,84,C
2024,4,13,81,C
