NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR
75106001;LUXEMBOURG;48.844667;2.333833;46;20240101;9.6;1;6.8;1;713;9;11.5;1;301;9;8.9;1;9.2;1;4.7;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240102;7.1;1;9.0;1;2030;9;12.7;1;1850;9;11.4;1;10.9;1;3.7;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240103;3.2;1;10.4;1;1750;9;13.0;1;1137;9;11.2;1;11.7;1;2.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240104;0.2;1;8.3;1;801;9;11.6;1;1406;9;10.1;1;10.0;1;3.3;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240105;0.2;1;6.7;1;807;9;10.1;1;1136;9;8.1;1;8.4;1;3.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240106;1.0;1;5.5;1;215;9;7.9;1;1222;9;6.3;1;6.7;1;2.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240107;0.0;1;3.0;1;1753;9;4.1;1;608;9;3.4;1;3.6;1;1.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240108;0.5;1;-1.0;1;1159;9;-0.2;1;1439;9;-0.6;1;-0.6;1;0.8;1;;;;;1406;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240109;0.0;1;-1.9;1;1756;9;-0.8;1;1324;9;-1.4;1;-1.4;1;1.1;1;;;;;1440;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240110;0.0;1;-2.0;1;1809;9;2.4;1;1356;9;-0.4;1;0.2;1;4.4;1;;;;;1099;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
